feature,benign_mean,attack_mean,benign_median,attack_median,ratio,U_statistic,p_value,p_value_str,cohens_d,effect_size,significant,domain_rank
events_per_second,5277.9216,158667.5025,291.586,176.7895,30.062,337156593.0,8.588941623342716e-103,<0.0001,1.0614,large,True,10
failed_call_rate,0.046,0.125,0.0542,0.0628,2.718,370377370.0,5.37411067170429e-308,<0.0001,1.0482,large,True,11
failed_call_count,453.3059,59788.0844,41.0,89.0,131.893,393014480.5,0.0,<0.0001,0.9682,large,True,15
seq_length,23564.1948,83679.5044,544.0,1852.0,3.551,372627939.0,0.0,<0.0001,0.4807,small,True,19
ephemeral_privileged,0.4397,0.2957,0.0,0.0,0.672,250022400.0,1.2998958103107467e-121,<0.0001,-0.292,small,True,9
uid_is_root,0.7861,0.6781,1.0,1.0,0.863,260535328.0,2.593417459829266e-97,<0.0001,-0.2605,small,True,13
unique_syscalls,28.698,31.2448,26.0,34.0,1.089,342077031.0,4.920869953622883e-130,<0.0001,0.2384,small,True,18
lifetime_seconds,17.6537,30.6551,7.016,16.037,1.736,274296892.0,1.8461311230994658e-17,<0.0001,0.1892,negligible,True,20
network_count,66.1766,96.7941,1.0,41.0,1.463,390951393.0,0.0,<0.0001,0.1006,negligible,True,17
priv_op_count,2.3194,1.8816,0.0,0.0,0.811,304218500.0,4.509040230424538e-11,<0.0001,-0.0723,negligible,True,4
file_access_count,360.083,268.3364,53.0,38.0,0.745,291217761.0,0.6717040396941933,0.6717,-0.0468,negligible,False,16
exec_count,0.853,0.8042,0.0,0.0,0.943,249448705.0,2.4326041626241713e-118,<0.0001,-0.0342,negligible,True,5
shell_from_service,0.1435,0.136,0.0,0.0,0.948,289918016.0,0.08620207979238695,0.0862,-0.0213,negligible,False,7
uid_changed,0.3087,0.314,0.0,0.0,1.017,293621814.0,0.3622019043766357,0.3622,0.0113,negligible,False,14
sensitive_path_access,0.0,0.0,0.0,0.0,inf,292095118.0,1.0,1.0000,0.0,negligible,False,6
parent_child_rarity,1.0,1.0,1.0,1.0,1.0,292095118.0,1.0,1.0000,0.0,negligible,False,8
