feature,importance,domain_rank
lifetime_seconds,0.27880832643845227,20
events_per_second,0.15748434024902053,10
unique_syscalls,0.09864204127132094,18
network_count,0.09853890062484448,17
failed_call_count,0.08914954762112606,15
failed_call_rate,0.07658335064496674,11
seq_length,0.07222907636040204,19
file_access_count,0.05589033347161343,16
priv_op_count,0.019651120489490335,4
exec_count,0.017799622765179945,5
ephemeral_privileged,0.009989965997758251,9
uid_is_root,0.00923777487874011,13
uid_changed,0.008351233073903539,14
shell_from_service,0.007644366113181418,7
euid_root,0.0,12
max_uid_euid_delta,0.0,3
is_suid_exec,0.0,1
auid_euid_mismatch,0.0,2
sensitive_path_access,0.0,6
parent_child_rarity,0.0,8
