feature,CAM-LDS_mean,CasinoLimit_mean,CAM-LDS_variance,CasinoLimit_variance,CAM-LDS_skew,CasinoLimit_skew,mean_ratio,ks_statistic,ks_p_value,distributions_differ_p<.05
unique_syscalls,3.5195,1.0048,1.3344,0.0171,2.4358,60.4118,3.502,0.9956,0.0,True
failed_call_count,8.6899,0.0122,31935.134,0.029,156.2452,50.3971,713.977,0.9872,0.0,True
failed_call_rate,0.8022,0.0099,0.0126,0.0097,-2.5282,9.8958,80.929,0.9872,0.0,True
seq_length,10.8697,1.0904,58925.5671,7.6816,139.588,87.4953,9.968,0.9803,0.0,True
uid_is_root,0.9997,0.0728,0.0003,0.0675,-55.9304,3.2883,13.73,0.9269,0.0,True
auid_euid_mismatch,0.0269,0.9488,0.0262,0.0486,5.8465,-4.0728,0.028,0.9219,0.0,True
lifetime_seconds,48264.5816,1.8576,250828058758.8376,263.91,23.9063,54.649,25982.523,0.911,0.0,True
events_per_second,4785.1206,1.0543,11059282.3733,1.0428,0.9088,24.7769,4538.686,0.9108,0.0,True
euid_root,0.9997,0.1116,0.0003,0.0991,-55.9304,2.4672,8.958,0.8881,0.0,True
exec_count,2.3159,0.1642,2.8001,0.1394,0.715,1.8837,14.104,0.7805,0.0,True
file_access_count,0.3014,0.847,804.5453,0.2724,204.9549,30.9581,0.356,0.7687,0.0,True
uid_changed,0.3589,0.0,0.2301,0.0,0.5883,,inf,0.3589,0.0,True
network_count,1.0536,0.0,5085.3673,0.0,143.4958,,inf,0.213,0.0,True
max_uid_euid_delta,1.414,38.9283,1341.5041,37560.3163,27.1125,4.7776,0.036,0.0375,4.279150671440737e-56,True
shell_from_service,0.0001,0.0354,0.0001,0.0342,83.5584,5.0266,0.004,0.0353,9.002696216082172e-50,True
priv_op_count,0.2076,0.0041,1413.0305,0.0069,222.9614,46.5982,51.038,0.0103,0.00012195606427369084,True
sensitive_path_access,0.0,0.0003,0.0,0.0003,,63.1158,0.0,0.0003,1.0,False
