feature,gap_none,gap_log1p,gap_zscore,gap_robust,best_remedy,gap_before,gap_after_best,gap_reduction_pct,ks_statistic_unaffected_by_transform
lifetime_seconds,0.1363,0.0976,0.1363,0.1363,log1p,0.1363,0.0976,28.4,0.911
max_uid_euid_delta,0.266,0.2607,0.266,0.266,log1p,0.266,0.2607,2.0,0.0375
events_per_second,1.428,1.7906,1.428,1.428,robust,1.428,1.428,0.0,0.9108
unique_syscalls,1.6752,1.8605,1.6752,1.6752,zscore,1.6752,1.6752,0.0,0.9956
seq_length,0.0571,1.752,0.0571,0.0571,none,0.0571,0.0571,0.0,0.9803
uid_is_root,1.858,1.858,1.858,1.858,zscore,1.858,1.858,0.0,0.9269
uid_changed,0.9371,0.9371,0.9371,0.9371,log1p,0.9371,0.9371,0.0,0.3589
euid_root,1.7864,1.7864,1.7864,1.7864,zscore,1.7864,1.7864,0.0,0.8881
auid_euid_mismatch,1.8441,1.8441,1.8441,1.8441,log1p,1.8441,1.8441,0.0,0.9219
failed_call_rate,1.9324,1.9459,1.9324,1.9324,none,1.9324,1.9324,0.0,0.9872
failed_call_count,0.0688,1.8351,0.0688,0.0688,none,0.0688,0.0688,0.0,0.9872
priv_op_count,0.0077,0.115,0.0077,0.0077,zscore,0.0077,0.0077,0.0,0.0103
exec_count,1.3291,1.5141,1.3291,1.3291,none,1.3291,1.3291,0.0,0.7805
file_access_count,0.0273,1.4109,0.0273,0.0273,none,0.0273,0.0273,0.0,0.7687
network_count,0.0209,0.5692,0.0209,0.0209,none,0.0209,0.0209,0.0,0.213
shell_from_service,0.2663,0.2663,0.2663,0.2663,none,0.2663,0.2663,0.0,0.0353
sensitive_path_access,0.0223,0.0223,0.0223,0.0223,log1p,0.0223,0.0223,0.0,0.0003
