feature,benign_mean,attack_mean,benign_median,attack_median,benign_variance,attack_variance,U_statistic,p_value,p_value_str,cohens_d,effect_size,significant,label_corr_r,domain_rank
uid_changed,0.0578,0.6155,0.0,1.0,0.0545,0.2367,1595350060.5,0.0,<0.0001,1.4267,large,True,0.5795,14
unique_syscalls,2.96,3.9963,3.0,3.0,0.1705,1.8322,1488006471.0,0.0,<0.0001,1.003,large,True,0.4471,18
events_per_second,5680.5593,4021.9099,4000.0,4000.0,14035678.9831,7256715.1981,840692303.0,0.0,<0.0001,-0.5149,medium,True,-0.2486,10
parent_child_rarity,0.9366,0.9562,1.0,1.0,0.0211,0.0149,1072628651.5,4.3458737971541176e-49,<0.0001,0.1477,negligible,True,0.0734,8
exec_count,2.4389,2.2109,2.0,1.0,2.67,2.8871,956220024.0,5.013958300961493e-79,<0.0001,-0.1366,negligible,True,-0.0679,5
ephemeral_privileged,0.8934,0.9272,1.0,1.0,0.0952,0.0675,1058732452.0,1.955328898428032e-71,<0.0001,0.1192,negligible,True,0.0593,9
auid_euid_mismatch,0.0172,0.0352,0.0,0.0,0.0169,0.034,1042557541.5,1.6440747979974057e-62,<0.0001,0.1113,negligible,True,0.0554,2
is_suid_exec,0.0,0.0036,0.0,0.0,0.0,0.0036,1027795506.0,6.2049741019523545e-34,<0.0001,0.0809,negligible,True,0.0403,1
max_uid_euid_delta,0.2154,2.4355,0.0,0.0,215.4532,2299.0289,1029207780.0,1.3242230467384658e-43,<0.0001,0.0606,negligible,True,0.0302,3
uid_is_root,1.0,0.9994,1.0,1.0,0.0,0.0006,1023537259.5,6.611405092337865e-07,<0.0001,-0.0331,negligible,True,-0.0165,13
euid_root,1.0,0.9994,1.0,1.0,0.0,0.0006,1023537259.5,6.611405092337865e-07,<0.0001,-0.0331,negligible,True,-0.0165,12
network_count,0.0,1.9516,0.0,0.0,0.0,9418.1225,1428310072.0,0.0,<0.0001,0.0274,negligible,True,0.0136,17
failed_call_count,6.09,10.9059,6.0,4.0,12.9698,59133.2865,1282173615.0,0.0,<0.0001,0.027,negligible,True,0.0134,15
seq_length,7.3326,13.8846,8.0,6.0,23.8005,109110.675,1297545956.0,0.0,<0.0001,0.027,negligible,True,0.0135,19
shell_from_service,0.0,0.0002,0.0,0.0,0.0,0.0002,1024369300.0,0.005564190029732973,0.0056,0.0185,negligible,True,0.0092,7
file_access_count,0.0213,0.5402,0.0,0.0,0.2917,1489.9262,1116396492.0,0.0,<0.0001,0.0183,negligible,True,0.0091,16
failed_call_rate,0.8032,0.8012,0.8,0.8,0.0143,0.0112,967783657.0,3.640063651115967e-48,<0.0001,-0.0179,negligible,True,-0.0089,11
lifetime_seconds,45344.6089,50753.3666,0.001,0.001,18044187685.7582,449228063502.7226,1236899346.5,0.0,<0.0001,0.0108,negligible,True,0.0054,20
priv_op_count,0.0,0.3846,0.0,0.0,0.0,2617.3576,1050424620.0,1.974352266838909e-238,<0.0001,0.0102,negligible,True,0.0051,4
sensitive_path_access,0.0,0.0,0.0,0.0,0.0,0.0,1024143113.0,1.0,1.0000,0.0,negligible,False,,6
