feature,importance,domain_rank,rf_rank
uid_changed,0.18500425294559336,14,1
seq_length,0.12043987725392875,19,2
failed_call_count,0.1106410774218777,15,3
events_per_second,0.1042911985460478,10,4
failed_call_rate,0.09539167782534541,11,5
network_count,0.09418183227944564,17,6
unique_syscalls,0.09389673484358219,18,7
parent_child_rarity,0.05929810018847982,8,8
exec_count,0.05749710130516124,5,9
lifetime_seconds,0.039690096699330185,20,10
ephemeral_privileged,0.013250858799083626,9,11
file_access_count,0.010560086990730314,16,12
auid_euid_mismatch,0.008798588957092818,2,13
priv_op_count,0.006440225470295835,4,14
max_uid_euid_delta,0.000295094353954318,3,15
uid_is_root,0.00016439428524387428,13,16
euid_root,0.00013006928098238663,12,17
is_suid_exec,2.825892468108049e-05,1,18
shell_from_service,4.736291436316913e-07,7,19
sensitive_path_access,0.0,6,20
