feature,benign_mean,attack_mean,benign_median,attack_median,benign_variance,attack_variance,U_statistic,p_value,p_value_str,cohens_d,effect_size,significant,label_corr_r,domain_rank
exec_count,0.0025,0.9474,0.0,1.0,0.0025,0.0624,1156339613.5,0.0,<0.0001,8.3754,large,True,0.9532,5
euid_root,0.0021,0.6416,0.0,1.0,0.0021,0.23,977664139.5,0.0,<0.0001,3.1532,large,True,0.7649,12
file_access_count,1.021,0.0041,1.0,0.0,0.1508,0.0041,4174538.0,0.0,<0.0001,-2.8683,large,True,-0.7339,16
uid_is_root,0.0021,0.415,0.0,0.0,0.0021,0.2428,842537917.5,0.0,<0.0001,1.9836,large,True,0.5985,13
auid_euid_mismatch,0.9976,0.7123,1.0,1.0,0.0023,0.2049,426162934.5,0.0,<0.0001,-1.483,large,True,-0.4877,2
max_uid_euid_delta,0.0,227.4527,0.0,0.0,0.0,176588.1493,731452375.5,0.0,<0.0001,1.3084,large,True,0.442,3
shell_from_service,0.0,0.207,0.0,0.0,0.0,0.1641,719748529.5,0.0,<0.0001,1.2349,large,True,0.4217,7
failed_call_rate,0.0007,0.0546,0.0,0.0,0.0007,0.0513,628744519.5,0.0,<0.0001,0.558,medium,True,0.2057,11
failed_call_count,0.0022,0.0606,0.0,0.0,0.0202,0.0684,628736795.5,0.0,<0.0001,0.3462,small,True,0.1293,15
priv_op_count,0.0,0.0238,0.0,0.0,0.0,0.04,608675991.0,0.0,<0.0001,0.2872,small,True,0.1075,4
events_per_second,1.0102,1.2681,1.0,1.0,0.0747,5.6763,605097126.5,1.6855926153140545e-33,<0.0001,0.2537,small,True,0.0951,10
unique_syscalls,1.0019,1.0189,1.0,1.0,0.0149,0.0277,604947062.5,3.380617944610772e-196,<0.0001,0.1294,negligible,True,0.0487,18
seq_length,1.0524,1.2743,1.0,1.0,8.0021,6.0888,598199773.0,0.009977779094909163,0.0100,0.0801,negligible,True,0.0301,19
lifetime_seconds,2.0337,1.0048,1.0,1.0,318.1988,0.1234,592819296.0,1.0307738395571025e-20,<0.0001,-0.0633,negligible,True,-0.0239,20
sensitive_path_access,0.0003,0.0001,0.0,0.0,0.0003,0.0001,596237376.0,0.28364581892452256,0.2836,-0.0094,negligible,False,-0.0035,6
uid_changed,0.0,0.0,0.0,0.0,0.0,0.0,596326153.5,1.0,1.0000,0.0,negligible,False,,14
network_count,0.0,0.0,0.0,0.0,0.0,0.0,596326153.5,1.0,1.0000,0.0,negligible,False,,17
