feature,importance,domain_rank,rf_rank
file_access_count,0.3679716338102141,16,1
exec_count,0.30263355666261144,5,2
euid_root,0.10826258194456462,12,3
auid_euid_mismatch,0.05371276196153052,2,4
seq_length,0.049562817769554,19,5
uid_is_root,0.03717629491169718,13,6
events_per_second,0.025853190425400224,10,7
max_uid_euid_delta,0.02280543733554435,3,8
shell_from_service,0.01868600286477498,7,9
failed_call_rate,0.0033839797044876623,11,10
priv_op_count,0.00323930174360524,4,11
lifetime_seconds,0.0031369150373807713,20,12
failed_call_count,0.002349119025780811,15,13
sensitive_path_access,0.0006521286498214455,6,14
unique_syscalls,0.0005742781530326764,18,15
uid_changed,0.0,14,16
network_count,0.0,17,17
