feature,n_FN,n_TP,FN_mean,TP_mean,FN_over_TP_ratio,abs_dev_from_1
auid_euid_mismatch,7517,18500,0.06412132499667421,0.0058378378378378375,10.983745485541416,9.983745485541416
lifetime_seconds,7517,18500,44149.17110855395,8166.119804594594,5.406382978083889,4.406382978083889
shell_from_service,7517,18500,0.0,0.0002702702702702703,0.0,1.0
is_suid_exec,7517,18500,0.0006651589729945457,0.0032972972972972973,0.2017285409901491,0.7982714590098509
file_access_count,7517,18500,0.13130238126912333,0.07756756756756757,1.692748469323193,0.6927484693231929
max_uid_euid_delta,7517,18500,0.6880404416655581,2.037297297297297,0.33772215894966373,0.6622778410503363
network_count,7517,18500,0.39643474790474925,0.9731891891891892,0.40735630061307826,0.5926436993869217
uid_changed,7517,18500,0.36570440335240123,0.7988108108108108,0.4578110341060646,0.5421889658939354
priv_op_count,7517,18500,0.03538645736330983,0.04535135135135135,0.780273493708262,0.21972650629173796
seq_length,7517,18500,7.530796860449647,9.216594594594595,0.817091039771496,0.182908960228504
failed_call_count,7517,18500,6.02075295995743,7.26827027027027,0.8283611830705283,0.1716388169294717
parent_child_rarity,7517,18500,0.9166135065850739,0.9794538468108109,0.9358414483435327,0.06415855165646733
events_per_second,7517,18500,4321.74116535852,4538.285004054053,0.9522850948095825,0.047714905190417545
exec_count,7517,18500,1.892909405347878,1.9876216216216216,0.9523489706272809,0.047651029372719145
unique_syscalls,7517,18500,3.5234801117467076,3.658108108108108,0.9631973707767135,0.036802629223286476
failed_call_rate,7517,18500,0.7862663828655048,0.8069509729729731,0.9743669803987446,0.025633019601255413
ephemeral_privileged,7517,18500,0.976719435945191,0.9844864864864865,0.9921105564698859,0.007889443530114115
uid_is_root,7517,18500,0.9980045230810164,1.0,0.9980045230810164,0.0019954769189836075
euid_root,7517,18500,0.9980045230810164,1.0,0.9980045230810164,0.0019954769189836075
sensitive_path_access,7517,18500,0.0,0.0,,
