lifetime_seconds,events_per_second,seq_length,unique_syscalls,uid_is_root,uid_changed,euid_root,max_uid_euid_delta,is_suid_exec,auid_euid_mismatch,ephemeral_privileged,failed_call_rate,failed_call_count,priv_op_count,exec_count,file_access_count,network_count,shell_from_service,sensitive_path_access,parent_child_rarity,label,source,technique,proc_name,true_label,pred_rf,proba_rf,correct_rf,errtype_rf,pred_xgb,proba_xgb,correct_xgb,errtype_xgb,pred_cnn,proba_cnn,correct_cnn,errtype_cnn,pred_iforest,proba_iforest,correct_iforest,errtype_iforest
0.001,11000.0,11,3,1,0,1,0.0,0,0,1,0.9091,10,0,4,0,0,0,0,1.0,1,CAM-LDS,T1078_Valid_Accounts,,1,1,0.9314231181446195,1,TP,1,0.9786408543586731,1,TP,1,0.9988165497779846,1,TP,0,0.1133516340438824,0,FN
0.001,10000.0,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,0.522729,0,CAM-LDS,benign,rustdesk,0,0,0.0243647732537686,1,TN,0,0.0006043169996701181,1,TN,0,0.16233482956886292,1,TN,0,0.29614411706827937,1,TN
0.001,10000.0,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,0.522729,0,CAM-LDS,benign,rustdesk,0,0,0.0243647732537686,1,TN,0,0.0006043169996701181,1,TN,0,0.16233482956886292,1,TN,0,0.29614411706827937,1,TN
0.004,2500.032,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,1.0,0,CAM-LDS,benign,,0,0,0.136110361410938,1,TN,0,0.08882872015237808,1,TN,0,0.43383821845054626,1,TN,0,0.15093108778117337,1,TN
0.001,10000.0,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,1.0,0,CAM-LDS,benign,,0,0,0.3890709854145044,1,TN,0,0.37380343675613403,1,TN,0,0.5816625952720642,1,TN,0,0.15372146806343995,1,TN
0.001,10000.0,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,1.0,0,CAM-LDS,benign,,0,0,0.3890709854145044,1,TN,0,0.37380343675613403,1,TN,0,0.5816625952720642,1,TN,0,0.15372146806343995,1,TN
0.001,10000.0,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,1.0,0,CAM-LDS,benign,,0,0,0.3890709854145044,1,TN,0,0.37380343675613403,1,TN,0,0.5816625952720642,1,TN,0,0.15372146806343995,1,TN
0.001,10000.0,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,1.0,0,CAM-LDS,benign,,0,0,0.3890709854145044,1,TN,0,0.37380343675613403,1,TN,0,0.5816625952720642,1,TN,0,0.15372146806343995,1,TN
0.001,10000.0,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,0.522729,0,CAM-LDS,benign,rustdesk,0,0,0.0243647732537686,1,TN,0,0.0006043169996701181,1,TN,0,0.16233482956886292,1,TN,0,0.29614411706827937,1,TN
0.001,10000.0,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,1.0,0,CAM-LDS,benign,,0,0,0.3890709854145044,1,TN,0,0.37380343675613403,1,TN,0,0.5816625952720642,1,TN,0,0.15372146806343995,1,TN
3431.864,5.126,17591,5,1,1,1,0.0,0,0,0,0.5505,9684,0,1,0,8782,0,0,1.0,1,CAM-LDS,T1043_Commonly_Used_Port,,1,1,0.9551369251086902,1,TP,1,0.9994619488716125,1,TP,1,0.9999979138374329,1,TP,1,0.8343741106703528,1,TP
0.001,15000.0,15,5,1,1,1,0.0,0,0,1,0.8667,13,0,5,0,1,0,0,1.0,1,CAM-LDS,T1043_Commonly_Used_Port,,1,1,0.98149543701504,1,TP,1,0.9989074468612671,1,TP,1,0.9999998211860657,1,TP,1,0.5251117125322208,1,TP
0.008,1625.021,13,5,1,1,1,0.0,0,0,1,0.8462,11,0,4,0,1,0,0,1.0,1,CAM-LDS,T1043_Commonly_Used_Port,,1,1,0.998423331978331,1,TP,1,0.999864935874939,1,TP,1,0.9988927841186523,1,TP,0,0.4793353742566678,0,FN
0.008,1625.021,13,5,1,1,1,0.0,0,0,1,0.8462,11,0,4,0,1,0,0,1.0,1,CAM-LDS,T1043_Commonly_Used_Port,,1,1,0.998423331978331,1,TP,1,0.999864935874939,1,TP,1,0.9988927841186523,1,TP,0,0.4793353742566678,0,FN
0.001,5000.0,5,3,1,1,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,1,CAM-LDS,T1166_Seuid_and_Setgid,,1,1,0.9803391365142109,1,TP,1,0.9955499172210693,1,TP,1,0.9890586137771606,1,TP,0,0.28815160051448535,0,FN
0.001,11000.0,11,3,1,0,1,0.0,0,0,1,0.9091,10,0,4,0,0,0,0,1.0,1,CAM-LDS,T1078_Valid_Accounts,,1,1,0.9314231181446195,1,TP,1,0.9786408543586731,1,TP,1,0.9988165497779846,1,TP,0,0.1133516340438824,0,FN
0.001,10000.0,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,1.0,0,CAM-LDS,benign,,0,0,0.3890709854145044,1,TN,0,0.37380343675613403,1,TN,0,0.5816625952720642,1,TN,0,0.15372146806343995,1,TN
0.001,10000.0,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,0.934848,0,CAM-LDS,benign,ps,0,0,0.029790272501577963,1,TN,0,0.006541241426020861,1,TN,0,0.009749384596943855,1,TN,0,0.1837796090871494,1,TN
508950.352,0.0,6,4,1,0,1,0.0,0,0,0,0.6667,4,0,1,1,0,0,0,1.0,0,CAM-LDS,benign,,0,0,0.03881609296978237,1,TN,0,0.015830911695957184,1,TN,0,0.10103275626897812,1,TN,1,0.683246256659011,0,FP
0.001,10000.0,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,0.522729,0,CAM-LDS,benign,rustdesk,0,0,0.0243647732537686,1,TN,0,0.0006043169996701181,1,TN,0,0.16233482956886292,1,TN,0,0.29614411706827937,1,TN
0.001,10000.0,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,1.0,0,CAM-LDS,benign,,0,0,0.3890709854145044,1,TN,0,0.37380343675613403,1,TN,0,0.5816625952720642,1,TN,0,0.15372146806343995,1,TN
0.004,3750.048,15,5,1,1,1,0.0,0,0,1,0.8667,13,0,5,0,1,0,0,1.0,1,CAM-LDS,T1043_Commonly_Used_Port,,1,1,0.9896093253396752,1,TP,1,0.9994825124740601,1,TP,1,0.9989140629768372,1,TP,1,0.5185645234673022,1,TP
0.001,5000.0,5,3,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,1,CAM-LDS,T1078_Valid_Accounts,,1,1,0.779066240259302,1,TP,1,0.8609684705734253,1,TP,1,0.9906269311904907,1,TP,0,0.11955050491752021,0,FN
0.001,10000.0,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,1.0,0,CAM-LDS,benign,,0,0,0.3890709854145044,1,TN,0,0.37380343675613403,1,TN,0,0.5816625952720642,1,TN,0,0.15372146806343995,1,TN
0.004,2500.032,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,1.0,0,CAM-LDS,benign,,0,0,0.136110361410938,1,TN,0,0.08882872015237808,1,TN,0,0.43383821845054626,1,TN,0,0.15093108778117337,1,TN
0.008,1625.021,13,5,1,1,1,0.0,0,0,1,0.8462,11,0,4,0,1,0,0,1.0,1,CAM-LDS,T1043_Commonly_Used_Port,,1,1,0.998423331978331,1,TP,1,0.999864935874939,1,TP,1,0.9988927841186523,1,TP,0,0.4793353742566678,0,FN
425074.604,0.0,6,4,1,0,1,0.0,0,0,0,0.6667,4,0,1,1,0,0,0,1.0,0,CAM-LDS,benign,,0,0,0.03819057841352555,1,TN,0,0.007702335715293884,1,TN,0,0.10111614316701889,1,TN,1,0.6743927766292392,0,FP
0.001,10000.0,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,1.0,0,CAM-LDS,benign,,0,0,0.3890709854145044,1,TN,0,0.37380343675613403,1,TN,0,0.5816625952720642,1,TN,0,0.15372146806343995,1,TN
0.001,10000.0,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,1.0,0,CAM-LDS,benign,,0,0,0.3890709854145044,1,TN,0,0.37380343675613403,1,TN,0,0.5816625952720642,1,TN,0,0.15372146806343995,1,TN
0.001,10000.0,10,3,1,0,1,0.0,0,0,1,0.9,9,0,4,0,0,0,0,0.522729,0,CAM-LDS,benign,rustdesk,0,0,0.0243647732537686,1,TN,0,0.0006043169996701181,1,TN,0,0.16233482956886292,1,TN,0,0.29614411706827937,1,TN
0.001,6000.0,6,3,1,0,1,0.0,0,0,1,0.8333,5,0,1,0,0,0,0,1.0,1,CAM-LDS,T1078_Valid_Accounts,,1,1,0.8220392190481567,1,TP,1,0.9766241908073425,1,TP,1,0.9275557398796082,1,TP,0,0.19832268870596556,0,FN
0.004,3749.825,15,5,1,1,1,0.0,0,0,1,0.8667,13,0,5,0,1,0,0,1.0,1,CAM-LDS,T1043_Commonly_Used_Port,,1,1,0.9920655578326724,1,TP,1,0.9996098875999451,1,TP,1,0.9989140629768372,1,TP,1,0.5185645234673022,1,TP
