feature,n_FN,n_TP,FN_mean,TP_mean,FN_over_TP_ratio,abs_dev_from_1
auid_euid_mismatch,5047,20970,0.07390529027144839,0.010348116356700047,7.1419075437431925,6.1419075437431925
lifetime_seconds,5047,20970,37638.14344343175,13971.522443919888,2.6939185471380807,1.6939185471380807
network_count,5047,20970,0.016049138101842678,0.9968049594659036,0.016100580107909917,0.9838994198920901
max_uid_euid_delta,5047,20970,0.20368535763820092,1.9949451597520267,0.10210073025943188,0.8978992697405681
is_suid_exec,5047,20970,0.00039627501486031304,0.0030519790176442535,0.12984198533782446,0.8701580146621756
uid_changed,5047,20970,0.20487418268278185,0.7865045302813544,0.26048697088813044,0.7395130291118696
priv_op_count,5047,20970,0.01426590053497127,0.04926084883166428,0.2895991618764255,0.7104008381235745
seq_length,5047,20970,5.435506241331484,9.522317596566523,0.5708175752603938,0.4291824247396062
failed_call_count,5047,20970,4.358430750941153,7.52141154029566,0.579469788029951,0.42053021197004903
file_access_count,5047,20970,0.0711313651674262,0.09837863614687649,0.7230367074943904,0.2769632925056096
exec_count,5047,20970,1.507628294036061,2.0691940867906533,0.7286065157736904,0.2713934842263096
unique_syscalls,5047,20970,3.0097087378640777,3.7659036719122554,0.7991996078688343,0.20080039213116574
parent_child_rarity,5047,20970,0.9945583873588271,0.953292499475441,1.0432877505131877,0.04328775051318767
events_per_second,5047,20970,4629.645304933624,4438.673393466857,1.0430245468720118,0.04302454687201185
shell_from_service,5047,20970,0.00019813750743015652,0.00019074868860276584,1.0387358827025956,0.03873588270259565
failed_call_rate,5047,20970,0.7799848622944323,0.8060264091559372,0.9676914471217198,0.03230855287828016
uid_is_root,5047,20970,0.9972260748959778,0.9999523128278494,0.9972736320553509,0.0027263679446490885
euid_root,5047,20970,0.9972260748959778,0.9999523128278494,0.9972736320553509,0.0027263679446490885
ephemeral_privileged,5047,20970,0.9827620368535764,0.9821173104434907,1.0006564657839037,0.0006564657839036592
sensitive_path_access,5047,20970,0.0,0.0,,
