feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
parent_child_rarity,1239,63522,0.9895641065375304,0.9157921367242846,0.6016172206362951,0.6016172206362951
uid_changed,1239,63522,0.21388216303470542,0.04544882088095463,0.5177587642396922,0.5177587642396922
ephemeral_privileged,1239,63522,0.9991928974979822,0.9262145398444633,0.3924777578725656,0.3924777578725656
lifetime_seconds,1239,63522,411.3486133979015,31221.245688627565,-0.3809338969569388,0.3809338969569388
exec_count,1239,63522,2.0742534301856335,2.564670507855546,-0.3246433261884876,0.3246433261884876
unique_syscalls,1239,63522,3.0782889426957225,2.974638707849249,0.29621200404199327,0.29621200404199327
seq_length,1239,63522,6.721549636803874,7.475850886307106,-0.19343593042216478,0.19343593042216478
failed_call_count,1239,63522,5.70863599677159,6.29089134473096,-0.17850010439076217,0.17850010439076217
events_per_second,1239,63522,6463.526771589992,6064.379096376059,0.12104699977567081,0.12104699977567081
failed_call_rate,1239,63522,0.8251329297820823,0.8138752983218414,0.12063970183312134,0.12063970183312134
max_uid_euid_delta,1239,63522,7.263922518159807,0.12616101508138913,0.11779582418649201,0.11779582418649201
auid_euid_mismatch,1239,63522,0.03712671509281679,0.019253172129341016,0.10811623194435155,0.10811623194435155
is_suid_exec,1239,63522,0.0,0.00011019804162337458,-0.014846444124955444,0.014846444124955444
file_access_count,1239,63522,0.01533494753833737,0.02208683605679922,-0.014303762870607367,0.014303762870607367
uid_is_root,1239,63522,1.0,0.9999685148452505,0.007935445850427447,0.007935445850427447
euid_root,1239,63522,1.0,0.9999685148452505,0.007935445850427447,0.007935445850427447
shell_from_service,1239,63522,0.0,1.5742577374767797e-05,-0.005611163404280398,0.005611163404280398
priv_op_count,1239,63522,0.0,0.0,,
network_count,1239,63522,0.0,0.0,,
sensitive_path_access,1239,63522,0.0,0.0,,
