feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
exec_count,249,75750,0.7550200803212851,0.0,2.4777368039195893,2.4777368039195893
uid_is_root,249,75750,0.5100401606425703,0.00047524752475247524,1.437300339780137,1.437300339780137
euid_root,249,75750,0.5100401606425703,0.00047524752475247524,1.437300339780137,1.437300339780137
auid_euid_mismatch,249,75750,0.5502008032128514,0.9991155115511551,-1.2713470862043146,1.2713470862043146
failed_call_rate,249,75750,0.11762647177857416,0.0002998947163842961,0.5160089748354612,0.5160089748354612
unique_syscalls,249,75750,1.3132530120481927,1.0009240924092409,0.29784510344424736,0.29784510344424736
failed_call_count,249,75750,0.3333333333333333,0.0010825082508250825,0.29663559183369465,0.29663559183369465
seq_length,249,75750,6.104417670682731,1.0358415841584159,0.2073706758505186,0.2073706758505186
events_per_second,249,75750,1.3830358022463467,1.008926270959919,0.2030272836360335,0.2030272836360335
lifetime_seconds,249,75750,17.224493976577698,1.9837287524730065,0.1432691652495209,0.1432691652495209
sensitive_path_access,249,75750,0.004016064257028112,0.000264026402640264,0.08110713951451473,0.08110713951451473
file_access_count,249,75750,0.7791164658634538,1.0218217821782178,-0.07065166614487685,0.07065166614487685
uid_changed,249,75750,0.0,0.0,,
max_uid_euid_delta,249,75750,0.0,0.0,,
priv_op_count,249,75750,0.0,0.0,,
network_count,249,75750,0.0,0.0,,
shell_from_service,249,75750,0.0,0.0,,
