feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
lifetime_seconds,360,75639,144.81708055271042,1.354092505202638,1.1104258558378635,1.1104258558378635
uid_is_root,360,75639,0.13333333333333333,0.0015203796983037851,0.5440606516590966,0.5440606516590966
euid_root,360,75639,0.13333333333333333,0.0015203796983037851,0.5440606516590966,0.5440606516590966
auid_euid_mismatch,360,75639,0.8722222222222222,0.9982416478271791,-0.5289605552089011,0.5289605552089011
failed_call_rate,360,75639,0.10557226733048722,0.00018508970240219992,0.4928315373068372,0.4928315373068372
file_access_count,360,75639,2.5861111111111112,1.0135776517405042,0.4864898854235304,0.4864898854235304
sensitive_path_access,360,75639,0.058333333333333334,0.0,0.35149630986760133,0.35149630986760133
unique_syscalls,360,75639,1.3972222222222221,1.0000661034651437,0.32530201652507146,0.32530201652507146
failed_call_count,360,75639,0.41944444444444445,0.00018508970240219992,0.29384029768470243,0.29384029768470243
seq_length,360,75639,8.672222222222222,1.0161821282671637,0.26838744977323964,0.26838744977323964
events_per_second,360,75639,0.7288902712210368,1.011490638986946,-0.14416454149977348,0.14416454149977348
exec_count,360,75639,0.0,0.0024854902894009706,-0.07059249821867075,0.07059249821867075
uid_changed,360,75639,0.0,0.0,,
max_uid_euid_delta,360,75639,0.0,0.0,,
priv_op_count,360,75639,0.0,0.0,,
network_count,360,75639,0.0,0.0,,
shell_from_service,360,75639,0.0,0.0,,
