technique,FN,TP,total,fn_rate
T1081_Credentials_In_Files,15,5,20,0.75
T1156_bash_profile_and_bashrc,57,33,90,0.6333333333333333
T1078_Valid_Accounts,8504,6496,15000,0.5669333333333333
T1168_Local_Job_Scheduling,10,39,49,0.20408163265306123
T1166_Seuid_and_Setgid,2956,12044,15000,0.19706666666666667
T1107_File_Deletion,65,738,803,0.08094645080946451
T1070_Indicator_Removal_on_Host,1,13,14,0.07142857142857142
T1016_System_Network_Configuration_Discovery,3,43,46,0.06521739130434782
T1169_Sudo,1,24,25,0.04
T1108_Redundant_Access,2,56,58,0.034482758620689655
T1021_Remote_Services,5,205,210,0.023809523809523808
T1087_Account_Discovery,10,2691,2701,0.0037023324694557573
T1043_Commonly_Used_Port,4,14996,15000,0.0002666666666666667
T1068_Exploitation_for_Privilege_Escalation,0,4,4,0.0
T1219_Remote_Access_Tools,0,2,2,0.0
