technique,FN,TP,total,fn_rate
T1081_Credentials_In_Files,20,0,20,1.0
T1166_Seuid_and_Setgid,14456,544,15000,0.9637333333333333
T1078_Valid_Accounts,14217,783,15000,0.9478
T1043_Commonly_Used_Port,14000,1000,15000,0.9333333333333333
T1068_Exploitation_for_Privilege_Escalation,2,2,4,0.5
T1168_Local_Job_Scheduling,12,37,49,0.24489795918367346
T1107_File_Deletion,36,767,803,0.0448318804483188
T1087_Account_Discovery,8,2693,2701,0.002961865975564606
T1070_Indicator_Removal_on_Host,0,14,14,0.0
T1016_System_Network_Configuration_Discovery,0,46,46,0.0
T1021_Remote_Services,0,210,210,0.0
T1156_bash_profile_and_bashrc,0,90,90,0.0
T1108_Redundant_Access,0,58,58,0.0
T1169_Sudo,0,25,25,0.0
T1219_Remote_Access_Tools,0,2,2,0.0
