technique,FN,TP,total,fn_rate
T1081_Credentials_In_Files,14,6,20,0.7
T1078_Valid_Accounts,7180,7820,15000,0.4786666666666667
T1168_Local_Job_Scheduling,17,32,49,0.3469387755102041
T1068_Exploitation_for_Privilege_Escalation,1,3,4,0.25
T1166_Seuid_and_Setgid,2026,12974,15000,0.13506666666666667
T1156_bash_profile_and_bashrc,10,80,90,0.1111111111111111
T1169_Sudo,2,23,25,0.08
T1070_Indicator_Removal_on_Host,1,13,14,0.07142857142857142
T1108_Redundant_Access,4,54,58,0.06896551724137931
T1016_System_Network_Configuration_Discovery,2,44,46,0.043478260869565216
T1107_File_Deletion,28,775,803,0.034869240348692404
T1021_Remote_Services,5,205,210,0.023809523809523808
T1087_Account_Discovery,10,2691,2701,0.0037023324694557573
T1043_Commonly_Used_Port,8,14992,15000,0.0005333333333333334
T1219_Remote_Access_Tools,0,2,2,0.0
