feature,xgb_wrong_cnn_right_mean,xgb_right_cnn_wrong_mean
lifetime_seconds,1.4027750015258789,1.971406930626029
events_per_second,1.9525309743133423,1.116592395470879
seq_length,2.9375,1.4113861386138613
unique_syscalls,1.1625,1.0321782178217822
uid_is_root,0.975,0.060396039603960394
uid_changed,0.0,0.0
euid_root,0.975,0.23292079207920793
max_uid_euid_delta,0.0,172.69579207920793
auid_euid_mismatch,0.975,0.5344059405940594
failed_call_rate,0.8,0.004031928582392319
failed_call_count,1.575,0.02004950495049505
priv_op_count,0.1125,0.048762376237623764
exec_count,1.55,0.8873762376237624
file_access_count,0.0,0.04405940594059406
network_count,0.0,0.0
shell_from_service,0.0,0.4207920792079208
sensitive_path_access,0.0,0.0007425742574257426
