fold,group_id,group_size,group_label,frac_of_group_in_this_test_fold
1,0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|1.0,13121,0,1.0
4,0.001|10000.0|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|1.0,10038,0,1.0
2,0.001|5000.0|5|3|1|1|1|0.0|0|0|1|0.8|4|0|1|0|0|0|0|1.0,9095,1,1.0
0,0.001|10000.0|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|0.579,4493,0,1.0
0,0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|1.0,2832,0,1.0
0,0.001|5000.0|5|3|1|0|1|0.0|0|0|1|0.8|4|0|1|0|0|0|0|1.0,2559,1,1.0
1,0.004|3250.042|13|5|1|1|1|0.0|0|0|1|0.8462|11|0|4|0|1|0|0|1.0,2283,1,1.0
0,0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9753,2264,0,1.0
4,0.001|2000.0|2|2|1|0|1|0.0|0|0|1|0.5|1|0|0|0|0|0|0|1.0,1489,0,1.0
0,0.001|2000.0|2|2|1|0|1|0.0|0|0|1|0.5|1|0|0|0|0|0|0|0.9893,1476,0,1.0
