group_id,n_rows,n_benign,n_attack,technique_nunique,technique_values,source_nunique,source_values,proc_name_nunique,proc_name_values
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|1.0...,13121,8788,4333,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],12,"[nan, 'xkbcomp', 'anacron', 'appstreamcli', 'gpu-manager']"
0.001|10000.0|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|1.0...,10038,9469,569,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],0,[nan]
0.001|5000.0|5|3|1|1|1|0.0|0|0|1|0.8|4|0|1|0|0|0|0|1.0...,9095,58,9037,3,"['T1166_Seuid_and_Setgid', 'benign', 'T1081_Credentials_In_Files']",1,['CAM-LDS'],7,"[nan, 'dmesg', 'sysctl', 'ssh-add', 'whereis']"
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|1.0...,2832,1325,1507,3,"['T1166_Seuid_and_Setgid', 'benign', 'T1081_Credentials_In_Files']",1,['CAM-LDS'],19,"[nan, 'false', 'pactl', 'truncate', 'cc1']"
0.001|5000.0|5|3|1|0|1|0.0|0|0|1|0.8|4|0|1|0|0|0|0|1.0...,2559,66,2493,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],11,"[nan, 'gpg', 'mirror', 'mawk', 'flock']"
0.004|2500.032|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|1.0...,1238,1146,92,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],0,[nan]
0.001|10000.0|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|0.9591...,790,789,1,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['dash']
0.001|11000.0|11|3|1|0|1|0.0|0|0|1|0.9091|10|0|4|0|0|0|0|1.0...,715,154,561,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],0,[nan]
0.001|4000.0|4|3|1|0|1|0.0|0|1|1|0.75|3|0|1|0|0|0|0|1.0...,670,265,405,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],4,"[nan, 'whiptail', 'echo', 'bc', 'systemd-tty-ask-password-agent']"
0.004|2499.883|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|1.0...,363,330,33,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],0,[nan]
0.001|10000.0|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|0.9686...,310,103,207,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['wazuh-modulesd']
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9591...,297,60,237,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['dash']
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9998...,266,65,201,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],26,"['tee', 'systemd-veritysetup-generator', 'systemd-system-update-generator', 'systemd-hibernate-resume-generator', 'systemd-sysv-generator']"
0.001|11000.0|11|3|1|0|1|0.0|0|0|1|0.9091|10|0|4|0|0|0|0|0.9...,206,77,129,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['python3.10']
0.001|5000.0|5|4|1|0|1|0.0|0|0|1|0.8|4|0|1|0|0|0|0|1.0...,204,63,141,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],3,"[nan, 'dmi_memory_id', 'setfont', 'postconf']"
0.001|8000.0|8|3|1|0|1|0.0|0|0|1|0.875|7|0|3|0|0|0|0|1.0...,204,81,123,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],2,"[nan, 'resize2fs', 'grub-probe']"
0.001|5000.0|5|3|1|0|1|0.0|0|1|1|0.8|4|0|1|0|0|0|0|1.0...,201,73,128,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,"[nan, 'lspci']"
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9976...,196,51,145,2,"['benign', 'T1166_Seuid_and_Setgid']",1,['CAM-LDS'],2,"['apt-config', 'dpkg-query']"
