precision,recall,f1,fpr,auroc,repeat,model,n_total
0.9210017472335469,0.8064542450328424,0.8599301771672812,0.08115740851542494,0.9329716944549722,0,rf,90805
0.9676120319214242,0.8038431724531843,0.8781574871583451,0.03156786252782232,0.9397312451096861,1,rf,90805
0.9717610435813816,0.802354045122598,0.8789693624438535,0.02735562310030395,0.9457469029037936,2,rf,90805
0.7694525008451807,0.8821345518338705,0.8219495737623903,0.31010219467247446,0.9414289787837493,3,rf,90805
0.9790955739238139,0.7901350414099791,0.8745244572886446,0.019792738673623245,0.9536368549011568,4,rf,90805
0.7826505337063635,0.8959242788951899,0.8354654314764265,0.29191297896273605,0.945612898926949,5,rf,90805
0.9178809180205764,0.8044143445799845,0.8574099843451035,0.08443625397889094,0.9377407981944804,6,rf,90805
0.983854639844257,0.77318346864673,0.8658891795264259,0.014886437067706962,0.9333695028714215,7,rf,90805
0.9643674801500317,0.8076985843090857,0.879107460035524,0.03501424024124644,0.9305212149095415,8,rf,90805
0.9816496198654487,0.7322222675533434,0.8387858110950133,0.01605916281741378,0.9323920259570208,9,rf,90805
0.9433819888226,0.8160825751703317,0.8751271478414945,0.05746356173563411,0.9500248916871834,10,rf,90805
0.7780969227805313,0.9062665741911795,0.8373052893449806,0.3032333724241917,0.9420394332622924,11,rf,90805
0.7768391714266052,0.9210762514789278,0.8428312769492095,0.3104372591723907,0.9424566735332819,12,rf,90805
0.9807131280388979,0.7406062584145894,0.8439134376234863,0.017088289495727927,0.9423773782190146,13,rf,90805
0.9655459344202616,0.7574558361551956,0.8489351730129516,0.03171146159921499,0.9494985524059273,14,rf,90805
