n_estimators,max_samples,f1_mean,f1_std,auroc_mean,auroc_std,fpr_mean
50,64,0.7492804089585317,0.2804815932933062,0.9490475484961826,0.0773457791621817,0.002649157664355233
50,128,0.8035821558712128,0.23268895058642233,0.948623043804389,0.07767793315856991,0.005614108957574003
50,256,0.7842616940210299,0.22188398577226118,0.9462101342331953,0.07793488147653937,0.007017636196967503
50,512,0.7870759057483813,0.23525036399846244,0.9439801962612843,0.07738539324056394,0.016052842800563166
100,64,0.7553936523219954,0.2766042993651759,0.9494139527120371,0.07723078370383896,0.0025263490309083013
100,128,0.8024987389625995,0.23036055739527186,0.9487604824351098,0.07737453786678716,0.004960591586731404
100,256,0.8018746879664951,0.2298304281814536,0.94811539221995,0.0793270700143662,0.007342201871077252
100,512,0.800017204678619,0.212880990164172,0.9196096085417346,0.0669215984849467,0.01639933858778844
200,64,0.7625566990652447,0.26516325980273053,0.9505564768089617,0.07508036032120959,0.002872844818133572
200,128,0.8022472347892361,0.2302652098386737,0.9497636753407965,0.07547102675693614,0.005495686346750177
200,256,0.8036194759446875,0.22719330674067215,0.9481982473259633,0.07927972327778184,0.007280797554353786
200,512,0.8002035493619553,0.2129536992300597,0.9214659875162874,0.06686007717872844,0.016364250406803598
400,64,0.7580582787815309,0.2718265255986757,0.9506038932546444,0.07502928401018569,0.0028772308407566762
400,128,0.8032005851776746,0.23035555659172224,0.9498789506247384,0.07547058816078797,0.005149190559524906
400,256,0.8029556264142137,0.2298894473595523,0.9483096553190725,0.07934829836981364,0.006978161993359562
400,512,0.7994911025940117,0.2150477982704206,0.9465112655837927,0.07918698390874743,0.01647828699500432
