repeat,f1,auroc,fpr
0,0.83689387702041,0.8579517067455005,0.11152861211497499
1,0.8554028307022319,0.8000144470531629,0.034487710312806646
2,0.7869485495015239,0.8270883329173937,0.022162123351602326
3,0.8314849117212596,0.8698128036916264,0.019481607352272456
4,0.8318640172751947,0.844216662715575,0.23794366129765696
5,0.7899718537344275,0.8780485179125547,0.04599956920278582
6,0.7232819637568395,0.9220006115492964,0.04415671445324654
7,0.8256963266247621,0.8604197565892338,0.04516190795299524
8,0.6820001549706847,0.7861026718635953,0.04803388938084867
9,0.7672066708645792,0.8527654840559378,0.37299858794246465
10,0.7950948411260118,0.8619363864237596,0.02017566953067037
11,0.8294918330308529,0.8770595015952619,0.06160400162745614
12,0.824942126329954,0.7102284463636284,0.059809013235047746
13,0.8055565283371272,0.8551035552391593,0.051193068951487446
14,0.7147267844419679,0.8522685950044562,0.5104946988009478
