repeat,f1,auroc,fpr
0,0.829547569265799,0.9241731431239921,0.10623937965201158
1,0.8659629646480732,0.9126985390370925,0.01981667185218869
2,0.7668454102871657,0.9098015591498685,0.49991623387502093
3,0.8575923565416107,0.888015306118648,0.017207955388555154
4,0.8387313608406807,0.9130388694026205,0.06715649905463944
5,0.7604601693075754,0.8991027338480965,0.5351458727233563
6,0.7948155533399801,0.9298077179473256,0.27326903286025417
7,0.8632886534377641,0.9220270158180518,0.01814134935260752
8,0.8477909780757062,0.9162037063857109,0.0732115932316971
9,0.7830395597383952,0.9122244597860221,0.28746140774956325
10,0.8499040391784871,0.9226259501781173,0.07450398487423114
11,0.8637661875867448,0.9373691853357218,0.012134121532680755
12,0.7761596126815555,0.9265333755166305,0.32711868463250604
13,0.8723514561356055,0.939283065803324,0.024052844458272504
14,0.8023613910516785,0.9264359840986403,0.2275087954431228
