repeat,f1,auroc,fpr
0,0.2548509159884255,0.6451818466475489,0.9799073659833154
1,0.2401491051737934,0.6065443602086158,0.9800257901523725
2,0.8051496960773209,0.9924827299755209,0.001723752253378423
3,0.7609974123735591,0.9857175188149975,0.0014210900286849655
4,0.7962878442111669,0.9239797778391334,0.0017239564141706585
5,0.8306082406801831,0.9320166701864075,0.003407939578152344
6,0.789704146517915,0.985358860156058,0.002644771641732128
7,0.8860934567128791,0.9769117263575812,0.016053054027737573
8,0.26669358016859385,0.9471224405359883,0.9799207884314267
9,0.22700225231870802,0.7237522447051086,0.9794994605121188
10,0.7213668341708542,0.5358143935622592,0.002763303331754303
11,0.4948551829268293,0.9920051947189339,0.0013816153056659386
12,0.9159189777052746,0.8887522387586906,0.003434255713890972
13,0.6317287784679089,0.6889832991493249,0.002210584489065502
14,0.9004149377593361,0.07645920050547772,0.0027237558883128504
