technique,FN,TP,total,fn_rate
T1081_Credentials_In_Files,2,0,2,1.0
T1021_Remote_Services,7,3,10,0.7
T1078_Valid_Accounts,4495,2855,7350,0.6115646258503401
T1156_bash_profile_and_bashrc,3,2,5,0.6
T1070_Indicator_Removal_on_Host,1,1,2,0.5
T1107_File_Deletion,21,21,42,0.5
T1108_Redundant_Access,1,3,4,0.25
T1087_Account_Discovery,34,103,137,0.24817518248175183
T1043_Commonly_Used_Port,1431,4768,6199,0.23084368446523632
T1166_Seuid_and_Setgid,1522,10737,12259,0.12415368300840199
T1016_System_Network_Configuration_Discovery,0,2,2,0.0
T1168_Local_Job_Scheduling,0,4,4,0.0
T1169_Sudo,0,1,1,0.0
