feature,n_FN,n_TP,FN_mean,TP_mean,FN_over_TP_ratio,abs_dev_from_1
file_access_count,21806,4211,0.0011006145097679537,0.56946093564474,0.0019327304840003558,0.9980672695159997
lifetime_seconds,21806,4211,397.21396904521686,112629.04008525291,0.0035267455777351162,0.9964732544222649
is_suid_exec,21806,4211,0.0001834357516279923,0.014723343623842318,0.012458837904927024,0.9875411620950729
max_uid_euid_delta,21806,4211,0.14697789599192881,9.417478033721206,0.015606927403031299,0.9843930725969687
priv_op_count,21806,4211,0.007245712189305696,0.22488720018997863,0.032219317876627546,0.9677806821233724
network_count,21806,4211,0.16041456479867927,4.152457848492045,0.0386312325498821,0.9613687674501179
shell_from_service,21806,4211,9.171787581399614e-05,0.0007124198527665638,0.12874132501757926,0.8712586749824207
events_per_second,21806,4211,4814.370613409154,2722.0696554262645,1.7686434304912173,0.7686434304912173
seq_length,21806,4211,6.409153444006237,20.745191165993827,0.30894646343449095,0.691053536565509
failed_call_count,21806,4211,5.243327524534532,15.527190691047258,0.3376868120488631,0.6623131879511369
auid_euid_mismatch,21806,4211,0.01852701091442722,0.044170030871526954,0.4194475427992098,0.5805524572007902
exec_count,21806,4211,1.6342749701916903,3.648302066017573,0.4479549501710088,0.5520450498289913
unique_syscalls,21806,4211,3.338576538567367,5.072429351697934,0.6581809833289879,0.3418190166710121
parent_child_rarity,21806,4211,0.9920878543061543,0.8018551754927571,1.2372406946135819,0.23724069461358188
uid_changed,21806,4211,0.6575713106484454,0.7570648302066018,0.8685799213113562,0.1314200786886438
ephemeral_privileged,21806,4211,0.999908282124186,0.8907622892424603,1.122530998673673,0.1225309986736729
failed_call_rate,21806,4211,0.8033229523984226,0.7888143196390405,1.0183929632084028,0.01839296320840278
uid_is_root,21806,4211,1.0,0.9964379007361672,1.0035748331744518,0.0035748331744518413
euid_root,21806,4211,1.0,0.9964379007361672,1.0035748331744518,0.0035748331744518413
sensitive_path_access,21806,4211,0.0,0.0,,
