technique,FN,TP,total,fn_rate
T1016_System_Network_Configuration_Discovery,2,0,2,1.0
T1081_Credentials_In_Files,2,0,2,1.0
T1078_Valid_Accounts,3979,3371,7350,0.5413605442176871
T1168_Local_Job_Scheduling,2,2,4,0.5
T1070_Indicator_Removal_on_Host,1,1,2,0.5
T1156_bash_profile_and_bashrc,2,3,5,0.4
T1107_File_Deletion,15,27,42,0.35714285714285715
T1021_Remote_Services,3,7,10,0.3
T1108_Redundant_Access,1,3,4,0.25
T1166_Seuid_and_Setgid,1010,11249,12259,0.08238844930255322
T1087_Account_Discovery,3,134,137,0.021897810218978103
T1043_Commonly_Used_Port,27,6172,6199,0.004355541216325214
T1169_Sudo,0,1,1,0.0
