feature,n_FN,n_TP,FN_mean,TP_mean,FN_over_TP_ratio,abs_dev_from_1
auid_euid_mismatch,4905,21112,0.08297655453618756,0.008668056081849186,9.57268316594531,8.57268316594531
shell_from_service,4905,21112,0.0,0.00023683213338385753,0.0,1.0
network_count,4905,21112,0.0,0.9939370973853733,0.0,1.0
priv_op_count,4905,21112,0.0026503567787971457,0.05172413793103448,0.051240231056744814,0.9487597689432552
max_uid_euid_delta,4905,21112,0.20958205912334352,1.9815270935960592,0.10576795028474514,0.8942320497152548
is_suid_exec,4905,21112,0.00040774719673802244,0.0030314513073133762,0.13450560652395516,0.8654943934760448
file_access_count,4905,21112,0.017329255861365953,0.11069533914361501,0.1565491013030201,0.8434508986969799
lifetime_seconds,4905,21112,3557.361494801223,22048.77214266768,0.16134057133808352,0.8386594286619165
uid_changed,4905,21112,0.19938837920489297,0.7838669950738916,0.2543650650657865,0.7456349349342135
seq_length,4905,21112,5.25769622833843,9.536140583554376,0.5513442447991623,0.44865575520083767
failed_call_count,4905,21112,4.224464831804282,7.5312618416066694,0.5609239089877484,0.43907609101225165
exec_count,4905,21112,1.5019367991845056,2.066739295187571,0.7267180735769552,0.27328192642304483
unique_syscalls,4905,21112,3.0254841997961264,3.7571523304281924,0.8052599239305583,0.19474007606944166
events_per_second,4905,21112,4685.289113149847,4427.030021551724,1.0583368737823922,0.05833687378239216
parent_child_rarity,4905,21112,0.9952111296636086,0.9534184020462295,1.0438346139823642,0.04383461398236421
failed_call_rate,4905,21112,0.7795865443425076,0.8059437949981053,0.9672964159297738,0.03270358407022622
ephemeral_privileged,4905,21112,0.9940876656472987,0.979490337248958,1.0149029835652483,0.014902983565248329
uid_is_root,4905,21112,1.0,0.9992895035998485,1.0007110015642033,0.0007110015642033396
euid_root,4905,21112,1.0,0.9992895035998485,1.0007110015642033,0.0007110015642033396
sensitive_path_access,4905,21112,0.0,0.0,,
