feature,n_FN,n_TP,FN_mean,TP_mean,FN_over_TP_ratio,abs_dev_from_1
events_per_second,42085,6937,4472.927323488178,1285.7028320599684,3.4789744659126254,2.4789744659126254
ephemeral_privileged,42085,6937,0.999928715694428,0.4858007784344818,2.0583102376178775,1.0583102376178775
is_suid_exec,42085,6937,0.0,0.025371197924174714,0.0,1.0
lifetime_seconds,42085,6937,184.42245351075206,357542.1824780164,0.0005158061413413544,0.9994841938586586
file_access_count,42085,6937,0.0030652251395984318,3.7989044255441833,0.0008068708228055371,0.9991931291771945
priv_op_count,42085,6937,0.005987881668052751,2.681418480611215,0.0022331022596248553,0.9977668977403752
max_uid_euid_delta,42085,6937,0.04759415468694309,16.922444860890874,0.002812486911801793,0.9971875130881982
network_count,42085,6937,0.35114648924795056,11.660948536831484,0.030113029668113446,0.9698869703318865
shell_from_service,42085,6937,4.752287038137104e-05,0.0014415453366008362,0.032966615183557084,0.967033384816443
auid_euid_mismatch,42085,6937,0.01834382796720922,0.13737927057805968,0.13352689885470131,0.8664731011452986
seq_length,42085,6937,7.958940239990495,49.834078131757245,0.15970878841076794,0.840291211589232
failed_call_count,42085,6937,6.606296780325532,36.99077410984575,0.17859309352942546,0.8214069064705746
unique_syscalls,42085,6937,3.7175953427587025,5.687184661957619,0.6536793798214823,0.3463206201785177
failed_call_rate,42085,6937,0.8111481905667103,0.7410583105088655,1.0945807894789221,0.09458078947892212
uid_changed,42085,6937,0.609670904122609,0.6511460285425976,0.9363044192823864,0.06369558071761361
exec_count,42085,6937,2.226517761672805,2.1164768631973474,1.0519924882661933,0.05199248826619329
euid_root,42085,6937,1.0,0.9958195185238575,1.004198031268095,0.004198031268094926
uid_is_root,42085,6937,1.0,0.9958195185238575,1.004198031268095,0.004198031268094926
parent_child_rarity,42085,6937,0.956341887846026,0.9555805257315843,1.000796753485384,0.0007967534853841052
sensitive_path_access,42085,6937,0.0,0.0,,
