feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
uid_changed,6505,35278,0.25564950038431977,0.021316401156528147,0.7211363944241556,0.7211363944241556
ephemeral_privileged,6505,35278,0.9970791698693313,0.8742842564771246,0.5169976287554743,0.5169976287554743
lifetime_seconds,6505,35278,1033.0545686395078,53515.32886994727,-0.5085337578748912,0.5085337578748912
parent_child_rarity,6505,35278,0.9816344322828593,0.9282371446510573,0.4801468848139671,0.4801468848139671
exec_count,6505,35278,1.887009992313605,2.540705255399966,-0.42943462571133806,0.42943462571133806
failed_call_count,6505,35278,4.921445042275173,6.3054878394466805,-0.41661738296778694,0.41661738296778694
seq_length,6505,35278,5.941583397386625,7.589035659617892,-0.3904218116142872,0.3904218116142872
auid_euid_mismatch,6505,35278,0.0611837048424289,0.009099155280911616,0.285709773255433,0.285709773255433
unique_syscalls,6505,35278,3.0273635664873173,2.9475593854526903,0.2348340392331625,0.2348340392331625
failed_call_rate,6505,35278,0.7975228285933897,0.8042969074210558,-0.06637123850752472,0.06637123850752472
file_access_count,6505,35278,0.01245196003074558,0.022960485288281648,-0.021792374741167936,0.021792374741167936
is_suid_exec,6505,35278,0.00015372790161414298,0.0,0.01753441767576802,0.01753441767576802
shell_from_service,6505,35278,0.00015372790161414298,0.0,0.01753441767576802,0.01753441767576802
events_per_second,6505,35278,5723.893567409686,5672.568813764954,0.015168064710442266,0.015168064710442266
max_uid_euid_delta,6505,35278,0.15403535741737126,0.22677022506944838,-0.005269337756058324,0.005269337756058324
uid_is_root,6505,35278,1.0,1.0,,
euid_root,6505,35278,1.0,1.0,,
priv_op_count,6505,35278,0.0,0.0,,
network_count,6505,35278,0.0,0.0,,
sensitive_path_access,6505,35278,0.0,0.0,,
