technique,FN,TP,total,fn_rate
T1156_bash_profile_and_bashrc,58,32,90,0.6444444444444445
T1078_Valid_Accounts,7474,7526,15000,0.4982666666666667
T1068_Exploitation_for_Privilege_Escalation,1,3,4,0.25
T1168_Local_Job_Scheduling,7,42,49,0.14285714285714285
T1169_Sudo,2,23,25,0.08
T1108_Redundant_Access,4,54,58,0.06896551724137931
T1016_System_Network_Configuration_Discovery,2,44,46,0.043478260869565216
T1166_Seuid_and_Setgid,224,14776,15000,0.014933333333333333
T1021_Remote_Services,3,207,210,0.014285714285714285
T1107_File_Deletion,10,793,803,0.012453300124533
T1087_Account_Discovery,10,2691,2701,0.0037023324694557573
T1043_Commonly_Used_Port,1,14999,15000,6.666666666666667e-05
T1070_Indicator_Removal_on_Host,0,14,14,0.0
T1081_Credentials_In_Files,0,20,20,0.0
T1219_Remote_Access_Tools,0,2,2,0.0
