feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
exec_count,3610,38173,1.4094182825484765,2.5362952872449114,-0.8271288199654735,0.8271288199654735
failed_call_count,3610,38173,4.152908587257618,6.273203573206193,-0.6685487973627583,0.6685487973627583
seq_length,3610,38173,5.19224376731302,7.53495926440154,-0.5700359704525882,0.5700359704525882
ephemeral_privileged,3610,38173,0.9975069252077562,0.8835564404160008,0.496435691624014,0.496435691624014
lifetime_seconds,3610,38173,691.219467036011,49567.4557820187,-0.4911086919077144,0.4911086919077144
parent_child_rarity,3610,38173,0.9818938739612186,0.9322622032850445,0.4626428344355077,0.4626428344355077
auid_euid_mismatch,3610,38173,0.06869806094182826,0.012338563906426007,0.2887706488733607,0.2887706488733607
unique_syscalls,3610,38173,3.0551246537396124,2.9509862992167237,0.2855452136967386,0.2855452136967386
failed_call_rate,3610,38173,0.7788026038781164,0.8055535299819245,-0.2779463787087988,0.2779463787087988
events_per_second,3610,38173,4895.668858448754,5754.785992429203,-0.27333493208961934,0.27333493208961934
max_uid_euid_delta,3610,38173,2.21606648199446,0.02624891939328845,0.06546152759443744,0.06546152759443744
uid_changed,3610,38173,0.04764542936288089,0.05875880858198203,-0.04952858702566077,0.04952858702566077
shell_from_service,3610,38173,0.0002770083102493075,0.0,0.02353755765789253,0.02353755765789253
file_access_count,3610,38173,0.02548476454293629,0.02093102454614518,0.00857505527020336,0.00857505527020336
is_suid_exec,3610,38173,0.0,2.6196526340607235e-05,-0.007238304544657849,0.007238304544657849
uid_is_root,3610,38173,1.0,1.0,,
euid_root,3610,38173,1.0,1.0,,
priv_op_count,3610,38173,0.0,0.0,,
network_count,3610,38173,0.0,0.0,,
sensitive_path_access,3610,38173,0.0,0.0,,
