feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
file_access_count,74476,1523,0.9977039583221441,2.1615233092580435,-0.7105272554960302,0.7105272554960302
lifetime_seconds,74476,1523,1.0,52.58066447800269,-0.6330070630194478,0.6330070630194478
events_per_second,74476,1523,1.0006579300714324,1.474419527231245,-0.4015765392808202,0.4015765392808202
auid_euid_mismatch,74476,1523,0.9985230141253558,0.9546946815495733,0.2929843120341885,0.2929843120341885
euid_root,74476,1523,0.0015441215962189161,0.03151674326986211,-0.2366393748664607,0.2366393748664607
uid_is_root,74476,1523,0.0015441215962189161,0.03151674326986211,-0.2366393748664607,0.2366393748664607
seq_length,74476,1523,1.0006579300714324,3.5850295469468154,-0.18452797434842957,0.18452797434842957
failed_call_rate,74476,1523,0.0004174262217911495,0.013734590246131159,-0.1638157135076429,0.1638157135076429
unique_syscalls,74476,1523,1.0001342714431494,1.0906106369008535,-0.15024769298887042,0.15024769298887042
failed_call_count,74476,1523,0.0004565229067082013,0.08601444517399869,-0.12234914813941149,0.12234914813941149
exec_count,74476,1523,0.0025243031312100544,0.0,0.07114291789608457,0.07114291789608457
sensitive_path_access,74476,1523,0.00025511574198399485,0.0013131976362442547,-0.0377960048574246,0.0377960048574246
uid_changed,74476,1523,0.0,0.0,,
max_uid_euid_delta,74476,1523,0.0,0.0,,
priv_op_count,74476,1523,0.0,0.0,,
network_count,74476,1523,0.0,0.0,,
shell_from_service,74476,1523,0.0,0.0,,
