feature,n_FN,n_TP,FN_mean,TP_mean,FN_over_TP_ratio,abs_dev_from_1
shell_from_service,2211,13482,0.0,0.24091381100726894,0.0,1.0
priv_op_count,2211,13482,0.0013568521031207597,0.02744399940661623,0.04944075690344346,0.9505592430965566
uid_is_root,2211,13482,0.03211216644052465,0.4778222815605993,0.06720525115665217,0.9327947488433478
failed_call_rate,2211,13482,0.006331976481230212,0.06251545270236858,0.10128658127737283,0.8987134187226271
failed_call_count,2211,13482,0.011759384893713252,0.06860999851654057,0.17139462393193738,0.8286053760680626
euid_root,2211,13482,0.344640434192673,0.690327844533452,0.49924168193678065,0.5007583180632194
max_uid_euid_delta,2211,13482,312.8407960199005,213.4493398605548,1.46564424244309,0.46564424244309
auid_euid_mismatch,2211,13482,0.89280868385346,0.682688028482421,1.3077842976654006,0.3077842976654006
seq_length,2211,13482,1.0411578471279963,1.312490728378579,0.7932687253449927,0.2067312746550073
events_per_second,2211,13482,1.0411578471279963,1.305296332387581,0.7976409810510721,0.20235901894892794
exec_count,2211,13482,0.8611488014473089,0.9615784008307373,0.8955575548528709,0.10444244514712908
unique_syscalls,2211,13482,1.0085933966530982,1.0205459130692776,0.9882881149558158,0.01171188504418419
lifetime_seconds,2211,13482,1.0,1.0056191217897554,0.9944122763101851,0.005587723689814861
uid_changed,2211,13482,0.0,0.0,,
file_access_count,2211,13482,0.028946178199909543,0.0,,
network_count,2211,13482,0.0,0.0,,
sensitive_path_access,2211,13482,0.0009045680687471732,0.0,,
