feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
exec_count,199,75800,0.9447236180904522,0.0,5.831813633103881,5.831813633103881
file_access_count,199,75800,0.0,1.0237071240105542,-3.7571741095071847,3.7571741095071847
uid_is_root,199,75800,0.507537688442211,0.0008179419525065963,1.427456573961785,1.427456573961785
euid_root,199,75800,0.507537688442211,0.0008179419525065963,1.427456573961785,1.427456573961785
auid_euid_mismatch,199,75800,0.507537688442211,0.9989313984168865,-1.3835957143934876,1.3835957143934876
failed_call_rate,199,75800,0.05025125628140704,0.0005541690796698601,0.3191197304256101,0.3191197304256101
sensitive_path_access,199,75800,0.035175879396984924,0.00018469656992084433,0.26721491559427024,0.26721491559427024
failed_call_count,199,75800,0.05025125628140704,0.002044854881266491,0.26117737132031776,0.26117737132031776
lifetime_seconds,199,75800,1.0,2.036376675461716,-0.08205705727387988,0.08205705727387988
unique_syscalls,199,75800,1.0,1.001952506596306,-0.022598076343942463,0.022598076343942463
seq_length,199,75800,1.0100502512562815,1.0525593667546174,-0.021197407302652158,0.021197407302652158
events_per_second,199,75800,1.0100502512562815,1.0101522551447648,-0.00046827385083989,0.00046827385083989
uid_changed,199,75800,0.0,0.0,,
max_uid_euid_delta,199,75800,0.0,0.0,,
priv_op_count,199,75800,0.0,0.0,,
network_count,199,75800,0.0,0.0,,
shell_from_service,199,75800,0.0,0.0,,
