feature,n_FN,n_TP,FN_mean,TP_mean,FN_over_TP_ratio,abs_dev_from_1
failed_call_rate,195,15498,0.6743589743589744,0.046801737858648426,14.408844739819006,13.408844739819006
failed_call_count,195,15498,0.6871794871794872,0.05271647954574784,13.035382732322757,12.035382732322757
max_uid_euid_delta,195,15498,0.0,230.31455671699575,0.0,1.0
priv_op_count,195,15498,0.0,0.024067621628597238,0.0,1.0
exec_count,195,15498,0.0,0.959349593495935,0.0,1.0
shell_from_service,195,15498,0.0,0.20957542908762422,0.0,1.0
auid_euid_mismatch,195,15498,0.010256410256410256,0.7211253064911601,0.01422278508892682,0.9857772149110732
euid_root,195,15498,0.010256410256410256,0.649567686153052,0.015789594333351163,0.9842104056666489
uid_is_root,195,15498,0.010256410256410256,0.4201187249967738,0.024413123353378308,0.9755868766466217
seq_length,195,15498,1.0153846153846153,1.2775196799587043,0.7948093726567387,0.20519062734326132
events_per_second,195,15498,1.0153846153846153,1.2712611403567795,0.7987222948541065,0.2012777051458935
unique_syscalls,195,15498,1.005128205128205,1.0190347141566654,0.9863532529017237,0.01364674709827629
lifetime_seconds,195,15498,1.0,1.0048881791179174,0.9951355989457372,0.004864401054262779
uid_changed,195,15498,0.0,0.0,,
file_access_count,195,15498,0.3282051282051282,0.0,,
network_count,195,15498,0.0,0.0,,
sensitive_path_access,195,15498,0.010256410256410256,0.0,,
