feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
exec_count,211,75788,0.8909952606635071,0.0,4.033651972865678,4.033651972865678
file_access_count,211,75788,0.0,1.0238692141236079,-3.7595729442762114,3.7595729442762114
uid_is_root,211,75788,0.5260663507109005,0.0006861244524199082,1.482465402646209,1.482465402646209
euid_root,211,75788,0.5260663507109005,0.0006861244524199082,1.482465402646209,1.482465402646209
auid_euid_mismatch,211,75788,0.5260663507109005,0.998957618620362,-1.3334137010670057,1.3334137010670057
failed_call_rate,211,75788,0.052132701421800945,0.0005410621238055549,0.32572540389680577,0.32572540389680577
failed_call_count,211,75788,0.05687203791469194,0.002018789254235499,0.26840046020512737,0.26840046020512737
sensitive_path_access,211,75788,0.03317535545023697,0.0001847258141130522,0.2591501507373247,0.2591501507373247
unique_syscalls,211,75788,1.0236966824644549,1.0018868422441547,0.14135764431900294,0.14135764431900294
events_per_second,211,75788,1.04739336492891,1.0100483050083546,0.1222694830841493,0.1222694830841493
lifetime_seconds,211,75788,1.0,2.0365407716260897,-0.08206357511408423,0.08206357511408423
seq_length,211,75788,1.04739336492891,1.0524621312081068,-0.002513089883556381,0.002513089883556381
uid_changed,211,75788,0.0,0.0,,
max_uid_euid_delta,211,75788,0.0,0.0,,
priv_op_count,211,75788,0.0,0.0,,
network_count,211,75788,0.0,0.0,,
shell_from_service,211,75788,0.0,0.0,,
