feature,n_FN,n_TP,FN_mean,TP_mean,FN_over_TP_ratio,abs_dev_from_1
failed_call_count,262,15431,0.9770992366412213,0.04503920679152355,21.69441484979955,20.69441484979955
failed_call_rate,262,15431,0.7385496183206107,0.04298706067872032,17.180742452721628,16.180742452721628
max_uid_euid_delta,262,15431,0.0,231.3145615967857,0.0,1.0
shell_from_service,262,15431,0.0,0.21048538655952304,0.0,1.0
sensitive_path_access,262,15431,0.0,0.0001296092281770462,0.0,1.0
auid_euid_mismatch,262,15431,0.27099236641221375,0.719784848681226,0.3764907901419709,0.623509209858029
euid_root,262,15431,0.27099236641221375,0.647916531657054,0.41825197100488803,0.581748028995112
exec_count,262,15431,0.4732824427480916,0.9554792301211846,0.49533514473994855,0.5046648552600514
priv_op_count,262,15431,0.03435114503816794,0.02358887952822241,1.4562431842966195,0.4562431842966195
uid_is_root,262,15431,0.27099236641221375,0.4174713239582658,0.6491280978123053,0.3508719021876947
seq_length,262,15431,1.5648854961832062,1.269327976151902,1.2328456676164319,0.23284566761643188
lifetime_seconds,262,15431,1.1229847332903446,1.0028212688644556,1.1198254047423188,0.11982540474231884
unique_syscalls,262,15431,1.0381679389312977,1.0185341196293176,1.019276545501613,0.019276545501613063
events_per_second,262,15431,1.2641315952101808,1.2681487055475535,0.9968323034043249,0.0031676965956750625
uid_changed,262,15431,0.0,0.0,,
file_access_count,262,15431,0.24427480916030533,0.0,,
network_count,262,15431,0.0,0.0,,
