feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
exec_count,206,75793,0.912621359223301,0.0,4.559329612524396,4.559329612524396
file_access_count,206,75793,0.0,1.0238016703389494,-3.7585728715286866,3.7585728715286866
uid_is_root,206,75793,0.5194174757281553,0.0007388545116303616,1.4624337221741095,1.4624337221741095
euid_root,206,75793,0.5194174757281553,0.0007388545116303616,1.4624337221741095,1.4624337221741095
auid_euid_mismatch,206,75793,0.5194174757281553,0.9989444935548137,-1.3511957500607852,1.3511957500607852
sensitive_path_access,206,75793,0.03398058252427184,0.0001847136279075904,0.26242259474843094,0.26242259474843094
failed_call_rate,206,75793,0.03398058252427184,0.0005938017526549338,0.25772544085184707,0.25772544085184707
failed_call_count,206,75793,0.03398058252427184,0.0020846252292428063,0.1955760396741885,0.1955760396741885
unique_syscalls,206,75793,1.0194174757281553,1.0018999116013352,0.11845083639635018,0.11845083639635018
events_per_second,206,75793,1.0388349514563107,1.0100740297913156,0.095770958003508,0.095770958003508
lifetime_seconds,206,75793,1.0,2.036472391909518,-0.08206085915858724,0.08206085915858724
seq_length,206,75793,1.0388349514563107,1.0524850579868854,-0.006770512837527919,0.006770512837527919
uid_changed,206,75793,0.0,0.0,,
max_uid_euid_delta,206,75793,0.0,0.0,,
priv_op_count,206,75793,0.0,0.0,,
network_count,206,75793,0.0,0.0,,
shell_from_service,206,75793,0.0,0.0,,
