feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
auid_euid_mismatch,38,75961,0.18421052631578946,0.9980516317584024,-2.9113776628948598,2.9113776628948598
failed_call_rate,38,75961,0.7444471440227624,0.000312226336753208,2.42503813416589,2.42503813416589
sensitive_path_access,38,75961,0.34210526315789475,0.00010531720224852227,1.0057571078253946,1.0057571078253946
failed_call_count,38,75961,2.1315789473684212,0.0011058306236094839,0.8446632668938798,0.8446632668938798
unique_syscalls,38,75961,2.6052631578947367,1.0011453245744526,0.6553458519830421,0.6553458519830421
uid_is_root,38,75961,0.15789473684210525,0.0020668500941272497,0.591898029089854,0.591898029089854
euid_root,38,75961,0.15789473684210525,0.0020668500941272497,0.591898029089854,0.591898029089854
seq_length,38,75961,33.5,1.0362159529232107,0.5458950225496069,0.5458950225496069
events_per_second,38,75961,2.9504285090794804,1.009181351701902,0.43311718375531244,0.43311718375531244
file_access_count,38,75961,4.526315789473684,1.0192730480114796,0.42168917212286544,0.42168917212286544
lifetime_seconds,38,75961,98.5709736911874,1.985369531729874,0.3633549999705228,0.3633549999705228
exec_count,38,75961,0.0,0.002474954252840273,-0.07044234786465771,0.07044234786465771
uid_changed,38,75961,0.0,0.0,,
max_uid_euid_delta,38,75961,0.0,0.0,,
priv_op_count,38,75961,0.0,0.0,,
network_count,38,75961,0.0,0.0,,
shell_from_service,38,75961,0.0,0.0,,
