row_id,lifetime_seconds,events_per_second,seq_length,unique_syscalls,uid_is_root,uid_changed,euid_root,max_uid_euid_delta,is_suid_exec,auid_euid_mismatch,ephemeral_privileged,failed_call_rate,failed_call_count,priv_op_count,exec_count,file_access_count,network_count,shell_from_service,sensitive_path_access,parent_child_rarity,fold,true_label,technique,pred_xgb,proba_xgb,pred_cnn,proba_cnn,disagreement_direction
115,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,0,benign,0,0.6923177242279053,1,0.9844757318496704,xgb_benign_cnn_malicious
123,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,1,T1078_Valid_Accounts,0,0.6923177242279053,1,0.9844757318496704,xgb_benign_cnn_malicious
238,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,0,benign,0,0.5382307767868042,1,0.9783802032470703,xgb_benign_cnn_malicious
246,0.008,1875.024,15,3,1,0,1,0.0,0,0,1,0.8667,13,0,5,0,0,0,0,0.921176,1,0,benign,0,0.39096522331237793,1,0.9352187514305115,xgb_benign_cnn_malicious
376,0.001,6000.0,6,3,1,1,1,0.0,0,0,1,0.8333,5,0,2,0,0,0,0,0.921176,1,0,benign,0,0.5864039063453674,1,0.9987131357192993,xgb_benign_cnn_malicious
697,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,0,benign,0,0.6923177242279053,1,0.9844757318496704,xgb_benign_cnn_malicious
868,0.001,14000.0,14,2,1,0,1,0.0,0,0,1,1.0,14,0,7,0,0,0,0,0.999579,1,0,benign,0,0.694502592086792,1,0.9844192266464233,xgb_benign_cnn_malicious
1039,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,0,benign,0,0.5382307767868042,1,0.9783802032470703,xgb_benign_cnn_malicious
1248,0.02,4600.004,92,8,1,0,1,0.0,0,0,1,0.6957,64,0,1,24,0,0,0,1.0,0,1,T1078_Valid_Accounts,0,0.4985829293727875,1,0.9518041014671326,xgb_benign_cnn_malicious
1438,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,1,T1078_Valid_Accounts,0,0.6923177242279053,1,0.9844757318496704,xgb_benign_cnn_malicious
1862,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,1,T1078_Valid_Accounts,0,0.5382307767868042,1,0.9783802032470703,xgb_benign_cnn_malicious
1880,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,0,benign,0,0.5382307767868042,1,0.9783802032470703,xgb_benign_cnn_malicious
2748,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,0,benign,0,0.6923177242279053,1,0.9844757318496704,xgb_benign_cnn_malicious
2840,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,0.973325,4,0,benign,0,0.3245709240436554,1,0.9873520731925964,xgb_benign_cnn_malicious
2847,0.001,9000.0,9,3,1,0,1,0.0,0,0,1,0.8889,8,0,3,0,0,0,0,0.973325,4,1,T1078_Valid_Accounts,0,0.619727611541748,1,0.9875256419181824,xgb_benign_cnn_malicious
2988,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,0,benign,0,0.5382307767868042,1,0.9783802032470703,xgb_benign_cnn_malicious
3028,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,1,T1078_Valid_Accounts,0,0.6923177242279053,1,0.9844757318496704,xgb_benign_cnn_malicious
3184,0.001,9000.0,9,3,1,0,1,0.0,0,0,1,0.8889,8,0,3,0,0,0,0,0.973325,4,1,T1078_Valid_Accounts,0,0.619727611541748,1,0.9875256419181824,xgb_benign_cnn_malicious
3358,0.001,28000.0,28,7,1,1,1,0.0,0,0,1,0.8214,23,0,1,3,0,0,0,1.0,4,0,benign,0,0.6893975138664246,1,0.967121422290802,xgb_benign_cnn_malicious
4164,0.001,15000.0,15,3,1,0,1,0.0,0,0,1,0.8667,13,0,5,0,0,0,0,0.921176,1,0,benign,0,0.4333839416503906,1,0.9628597497940063,xgb_benign_cnn_malicious
4570,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,1,T1078_Valid_Accounts,0,0.5382307767868042,1,0.9783802032470703,xgb_benign_cnn_malicious
5324,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,0,benign,0,0.5382307767868042,1,0.9783802032470703,xgb_benign_cnn_malicious
5351,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,1,T1078_Valid_Accounts,0,0.6923177242279053,1,0.9844757318496704,xgb_benign_cnn_malicious
5441,0.004,2000.026,8,3,1,1,1,0.0,0,0,1,0.75,6,0,2,0,0,0,0,1.0,1,0,benign,0,0.3570463955402374,1,0.996929943561554,xgb_benign_cnn_malicious
5458,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,1,T1078_Valid_Accounts,0,0.5382307767868042,1,0.9783802032470703,xgb_benign_cnn_malicious
5506,0.004,2000.026,8,3,1,1,1,0.0,0,0,1,0.75,6,0,2,0,0,0,0,1.0,1,0,benign,0,0.3570463955402374,1,0.996929943561554,xgb_benign_cnn_malicious
5642,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,1,T1078_Valid_Accounts,0,0.5382307767868042,1,0.9783802032470703,xgb_benign_cnn_malicious
5679,0.004,1999.907,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,0.973325,3,0,benign,0,0.6607770323753357,1,0.9449419975280762,xgb_benign_cnn_malicious
5831,0.004,1999.907,8,3,1,1,1,0.0,0,0,1,0.75,6,0,2,0,0,0,0,1.0,1,0,benign,0,0.3491014540195465,1,0.9969297051429749,xgb_benign_cnn_malicious
6278,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,0.973325,4,1,T1078_Valid_Accounts,0,0.3245709240436554,1,0.9873520731925964,xgb_benign_cnn_malicious
6362,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,1,T1078_Valid_Accounts,0,0.6923177242279053,1,0.9844757318496704,xgb_benign_cnn_malicious
