row_id,fold,true_label,technique,pred_xgb,pred_cnn,proba_xgb,proba_cnn,disagreement_direction,llm_verdict,llm_pred,llm_confidence,llm_agrees_with,parse_status,rationale_steps,key_features
192,4,0,benign,0,1,0.5974626541137695,0.6233622431755066,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
238,4,0,benign,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
252,4,0,benign,0,1,0.4229932725429535,0.4792296588420868,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
579,4,1,T1166_Seuid_and_Setgid,0,1,0.3448094725608825,0.4777955412864685,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
868,1,0,benign,0,1,0.694502592086792,0.8036562204360962,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
1039,4,0,benign,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
1300,4,0,benign,0,1,0.4733957052230835,0.4975657761096954,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
1837,4,0,benign,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
1862,4,1,T1078_Valid_Accounts,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
1880,4,0,benign,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
2204,4,0,benign,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
2840,4,0,benign,0,1,0.3245709240436554,0.7823609709739685,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
2874,4,0,benign,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
2879,4,0,benign,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
2988,4,0,benign,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
3239,4,0,benign,0,1,0.3148179352283478,0.4777534306049347,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
3358,4,0,benign,0,1,0.6893975138664246,0.6608070135116577,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
3489,4,0,benign,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
3781,4,0,benign,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
3893,4,0,benign,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
4164,1,0,benign,0,1,0.4333839416503906,0.7127957344055176,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
5324,4,0,benign,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
5458,4,1,T1078_Valid_Accounts,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
5642,4,1,T1078_Valid_Accounts,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
5852,4,0,benign,0,1,0.3457255363464355,0.4792556464672088,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
6278,4,1,T1078_Valid_Accounts,0,1,0.3245709240436554,0.7823609709739685,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
6373,4,0,benign,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
6415,4,1,T1078_Valid_Accounts,0,1,0.3923510313034057,0.6169238686561584,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
6434,1,0,benign,0,1,0.5568491220474243,0.8014640212059021,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
7190,4,0,benign,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
7300,4,0,benign,0,1,0.5500925183296204,0.7293292880058289,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
7425,4,1,T1078_Valid_Accounts,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
7521,4,0,benign,0,1,0.4733957052230835,0.4975657761096954,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
7657,4,0,benign,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
7740,4,1,T1078_Valid_Accounts,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
7962,4,1,T1166_Seuid_and_Setgid,0,1,0.3457255363464355,0.4792556464672088,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
8370,4,0,benign,0,1,0.3457255363464355,0.4792556464672088,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
8706,4,0,benign,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
8712,4,0,benign,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
9039,4,1,T1078_Valid_Accounts,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
9078,4,1,T1078_Valid_Accounts,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
9687,4,1,T1078_Valid_Accounts,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
9722,4,1,T1166_Seuid_and_Setgid,0,1,0.3457255363464355,0.4792556464672088,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
9801,4,0,benign,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
9845,4,0,benign,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
9865,4,0,benign,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
10019,4,1,T1166_Seuid_and_Setgid,0,1,0.3457255363464355,0.4792556464672088,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
10245,4,1,T1078_Valid_Accounts,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
10257,4,0,benign,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
10469,4,0,benign,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
10615,4,0,benign,0,1,0.3904956877231598,0.8495546579360962,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
10804,4,0,benign,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
10865,4,1,T1078_Valid_Accounts,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
10963,4,0,benign,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
10978,4,0,benign,0,1,0.5382307767868042,0.7288758158683777,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
11046,4,0,benign,0,1,0.4626511931419372,0.4764010310173034,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
