pipeline,fold,f1,recall,fpr
cascade@0.5thr,0,0.9665868112470054,0.9353343094192289,0.0
cascade+llm,0,0.9665868112470054,0.9353343094192289,0.0
cascade@0.5thr,1,0.9552457813646368,0.9954128440366973,0.06978250809810273
cascade+llm,1,0.9552457813646368,0.9954128440366973,0.06978250809810273
cascade@0.5thr,2,0.3677306328248515,0.9981442820691255,1.0
cascade+llm,2,0.3677306328248515,0.9981442820691255,1.0
cascade@0.5thr,3,0.8282564892734384,0.7675746924428822,0.033970460469157256
cascade+llm,3,0.8282564892734384,0.7675746924428822,0.033970460469157256
cascade@0.5thr,4,0.5663492063492064,0.8814229249011858,0.48705698401667824
cascade+llm,4,0.5663492063492064,0.8814229249011858,0.48705698401667824
cascade@0.5thr,pooled,0.6727691341659109,0.926586462697467,0.332623029292321
cascade+llm,pooled,0.6727691341659109,0.926586462697467,0.332623029292321
