row_id,fold,true_label,technique,pred_xgb,pred_cnn,proba_xgb,proba_cnn,disagreement_direction,llm_verdict,llm_pred,llm_confidence,llm_agrees_with,parse_status,rationale_steps,key_features
192,4,0,benign,0,1,0.5974626541137695,0.924648940563202,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
252,4,0,benign,0,1,0.4229932725429535,0.935460925102234,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
507,4,0,benign,0,1,0.3457255363464355,0.9366453289985656,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
579,4,1,T1166_Seuid_and_Setgid,0,1,0.3448094725608825,0.9314173460006714,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
1039,4,0,benign,0,1,0.5382307767868042,0.9971309900283812,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
1248,0,1,T1078_Valid_Accounts,0,1,0.4985829293727875,0.9999369978904724,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
1880,4,0,benign,0,1,0.5382307767868042,0.9971309900283812,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
2542,4,0,benign,0,1,0.3448094725608825,0.9314173460006714,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
2593,4,0,benign,0,1,0.511584997177124,0.7058579325675964,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
2840,4,0,benign,0,1,0.3245709240436554,0.9986371397972108,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
2988,4,0,benign,0,1,0.5382307767868042,0.9971309900283812,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
3184,4,1,T1078_Valid_Accounts,0,1,0.619727611541748,0.986267864704132,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
3239,4,0,benign,0,1,0.3148179352283478,0.931283175945282,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
3358,4,0,benign,0,1,0.6893975138664246,0.5541308522224426,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
3893,4,0,benign,0,1,0.5382307767868042,0.9971309900283812,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
4570,4,1,T1078_Valid_Accounts,0,1,0.5382307767868042,0.9971309900283812,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
5324,4,0,benign,0,1,0.5382307767868042,0.9971309900283812,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
5458,4,1,T1078_Valid_Accounts,0,1,0.5382307767868042,0.9971309900283812,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
5642,4,1,T1078_Valid_Accounts,0,1,0.5382307767868042,0.9971309900283812,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
5852,4,0,benign,0,1,0.3457255363464355,0.9366453289985656,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
6278,4,1,T1078_Valid_Accounts,0,1,0.3245709240436554,0.9986371397972108,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
6415,4,1,T1078_Valid_Accounts,0,1,0.3923510313034057,0.5136749148368835,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
6431,4,0,benign,0,1,0.3457255363464355,0.9366453289985656,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
7300,4,0,benign,0,1,0.5500925183296204,0.9971399903297424,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
7425,4,1,T1078_Valid_Accounts,0,1,0.5382307767868042,0.9971309900283812,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
7740,4,1,T1078_Valid_Accounts,0,1,0.5382307767868042,0.9971309900283812,xgb_benign_cnn_malicious,,-1,,,call_error,[],[]
