precision,recall,f1,fpr,auroc,repeat,model,n_total
0.15214718338722164,0.8515898808385904,0.25816920862753434,0.9799076303635574,0.9408671872883067,0,cnn,91692
0.982736261954936,0.7726374816797298,0.8651136242017766,0.002802668456163897,0.6077349066830758,1,cnn,91692
0.912913808529675,0.780220480468999,0.8413674626352861,0.015368623271358834,0.778388603326619,2,cnn,91692
0.10510861062639149,0.5565538775250112,0.1768230959225817,0.9784470848300636,0.9890231315336735,3,cnn,91692
0.9850926672038679,0.9348116994838463,0.9592937714565963,0.0029210910669877233,0.9845199263929316,4,cnn,91692
0.1367705724093144,0.7515452749633594,0.23142506745155753,0.9794602560560007,0.9031547062609255,5,cnn,91692
0.9783438176755698,0.6045370547377812,0.7473020874359985,0.0027631942525559545,0.7617856236620688,6,cnn,91692
0.9871953201169971,0.9678200471547824,0.9774116738528863,0.0025921393702548717,0.9870710060178504,7,cnn,91692
0.1595473418178536,0.9011024023449946,0.2710951353942008,0.9801576336530744,0.7041463522696225,8,cnn,91692
0.9822396397898774,0.7506531574587396,0.8509716102001011,0.002802668456163897,0.9911591706668287,9,cnn,91692
0.039013975155279504,0.19212387688778437,0.06485753928559905,0.9771839103146094,0.9953847550810129,10,cnn,91692
0.9813501444707119,0.9522717135028357,0.9665922835613338,0.0037368912748851958,0.9954613897376213,11,cnn,91692
0.15137044845860162,0.846364621168674,0.2568108432104256,0.9797892077527336,0.9754782409522477,12,cnn,91692
0.7045454545454546,0.0059262091378321545,0.011753554502369668,0.0005131646469032487,0.914584005831299,13,cnn,91692
0.17173424675815743,0.9840056075957433,0.2924316595809149,0.9799602626350347,0.9815275647641035,14,cnn,91692
