model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop
cnn,CAM-LDS,CasinoLimit,0,42,17,0.8509553438687297,0.990898024677696,0.7306311452001142,0.8410905504414804,0.007874015748031496,0.9312550364238009,0.11812371853596824,0.12355876984218674,0.6815140508506977,0.20919110815542147,0.9982105027697733,0.216228759619546,0.6318994422860589
cnn,CAM-LDS,CasinoLimit,1,43,17,0.7033313143549365,0.9630142156246069,0.46846313899881686,0.6303091849757785,0.021109063494722736,0.8350831706466791,0.1197923482964708,0.12533855817437908,0.6929841330529536,0.21228210583848992,0.9985657706022447,0.35143286357639186,0.41802707913728854
cnn,CAM-LDS,CasinoLimit,2,44,17,0.8299212598425196,0.970490976347943,0.7064379258292195,0.817675253228815,0.025201637029413877,0.9388294409689595,0.07816385289883523,0.08317992442592773,0.4376473586949595,0.13979096487925016,0.9960657377070751,0.43797093036604506,0.6778842883495648
cnn,CAM-LDS,CasinoLimit,3,45,17,0.7959473597268872,0.7557236544170678,0.9191179470441843,0.8294505858637924,0.348562812627145,0.8840685676709715,0.9041901147319287,0.9965497412305923,0.4417256101446505,0.6121241555918584,0.00031579362886353766,0.5038677479370356,0.217326430271934
cnn,CAM-LDS,CasinoLimit,4,46,17,0.8266284896206156,0.9697902255851379,0.7006854065521603,0.8135621321396004,0.025608501065026445,0.8472594491293524,0.8662478733150111,0.9991266375545852,0.2186962339896769,0.3588456712672522,3.947420360794221e-05,0.7663997110769014,0.4547164608723482
cnn,CasinoLimit,CAM-LDS,0,42,17,0.9968699559394495,0.9822211093026167,0.9998088319632957,0.990936937505921,0.0037368912748851958,0.9993181654911266,0.48831011508176864,0.5150223161851069,0.8944759495736608,0.6536724258731981,0.9882248761458009,0.20502193012354905,0.337264511632723
cnn,CasinoLimit,CAM-LDS,1,43,17,0.9969026741700475,0.9823452075377199,0.9998725546421972,0.9910313901345291,0.0037105751391465678,0.9993029984555256,0.5274158911954188,0.5379125448384574,0.8840520582595569,0.6688530662324734,0.8910083048129622,0.3763792560893782,0.3221783239020557
cnn,CasinoLimit,CAM-LDS,2,44,17,0.9969026741700475,0.9823452075377199,0.9998725546421972,0.9910313901345291,0.0037105751391465678,0.9992258460453388,0.4275755740322669,0.1378888072495714,0.01148463954958998,0.021203276527633933,0.08424478855036738,0.32226808007642194,0.9698281136068951
cnn,CasinoLimit,CAM-LDS,3,45,17,0.9970880774767701,0.9835130391173521,0.9997451092843943,0.9915626481276663,0.0034605718496296006,0.9994628379987697,0.5310390397004571,0.5388186773431094,0.9114479213414385,0.6772619101753747,0.9152765478783237,0.4703693503722268,0.3143007379522915
cnn,CasinoLimit,CAM-LDS,4,46,17,0.9968808620163155,0.9821015082295513,1.0,0.9909699419045214,0.003763207410623824,0.9994567280873082,0.4910522548317824,0.5165845415765654,0.8917832809758883,0.6542061668998645,0.9791063351123662,0.4856365042509445,0.3367637750046568
