model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop
cnn,CAM-LDS,CasinoLimit,0,42,17,0.8642916138979131,0.9928554161854368,0.7540492023989229,0.8571296070861303,0.0063662254984084435,0.9488989611552463,0.11789469092178162,0.12354619267061663,0.6816414962085006,0.20917908404708827,0.9985131383307675,0.2183325919647091,0.647950523039042
cnn,CAM-LDS,CasinoLimit,1,43,17,0.8682121028577722,0.934112795520045,0.8132471135408592,0.8694997873523734,0.06730009812603212,0.9345136852470344,0.11798193953670985,0.12362716679562541,0.682151277639712,0.20931915060028938,0.9985131383307675,0.1299869489121778,0.660180636752084
cnn,CAM-LDS,CasinoLimit,2,44,17,0.6950167942293927,0.9764542936288089,0.4458202439720942,0.612150579799451,0.01261278510398966,0.709573364089009,0.16359115299044627,0.16483697623050803,0.9558401835213153,0.2811832189854909,1.0,0.43669685996758817,0.33096736081396005
cnn,CAM-LDS,CasinoLimit,3,45,17,0.8241066020593579,0.9823127663300449,0.686548896413855,0.8082224677008789,0.014503506210659838,0.8834018932664542,0.9033830650438425,0.9968013957545798,0.4368826865481425,0.6075052057950467,0.0002894774931249095,0.7599995180322072,0.20071726190583217
cnn,CAM-LDS,CasinoLimit,4,46,17,0.691129343097847,0.9586704570303958,0.4471461792664518,0.6098460083186111,0.022616853744345786,0.648593982196705,0.9124023906120491,0.9930492984940147,0.49162046772446316,0.6576591935896343,0.0007105356649429597,0.7651179200712352,-0.047813185271023184
cnn,CasinoLimit,CAM-LDS,0,42,17,0.9970989835536361,0.9835746975111278,0.9997451092843943,0.9915939830615599,0.003447413781760286,0.9994139092375058,0.5393315346071251,0.5396167788710513,0.9990208477826282,0.7007347312543372,1.0,0.351470230264586,0.2908592518072227
cnn,CasinoLimit,CAM-LDS,1,43,17,0.9970880774767701,0.9836949705255237,0.99955394124769,0.99156104807358,0.003421097646021658,0.9988532680547608,0.5007763889653654,0.5213512012220525,0.9189955530170127,0.6652834591018504,0.9899001986453821,0.3207647196276171,0.32627758897172965
cnn,CasinoLimit,CAM-LDS,2,44,17,0.9963682764036121,0.9866303383601571,0.9922258331740267,0.9894201747418586,0.002776352320425269,0.9989827257341648,0.5273828533671053,0.534337322296203,0.96913630614826,0.6888656893876781,0.9909053921451308,0.4228415533464609,0.3005544853541805
cnn,CasinoLimit,CAM-LDS,3,45,17,0.9959865637133011,0.9866624325182598,0.9899318167335754,0.9882944207646797,0.0027631942525559545,0.9986329884322271,0.5706954462859974,0.5591413052443062,0.9680551589082452,0.7088539527241495,0.8955077423832659,0.4953662189006977,0.27944046804053013
cnn,CasinoLimit,CAM-LDS,4,46,17,0.957848012912795,0.9914409174006981,0.7602752819728541,0.8606051862805207,0.0013552809905393493,0.9992487613575713,0.5621496613622597,0.5553404786655673,0.9480845334747664,0.700413674621175,0.8906493071344805,0.646048964838374,0.16019151165934575
