model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop
iforest,CAM-LDS,CasinoLimit,0,42,17,0.5103133087385056,0.7831220482227194,0.12853412753457633,0.22082427980654656,0.04176339659670201,0.6900325972801813,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.020026815744884158,-0.07145117765957998
iforest,CAM-LDS,CasinoLimit,1,43,17,0.5104784978800727,0.7811538934678313,0.12953367875647667,0.22221833388742104,0.042577124667927145,0.6902003072396777,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.008496428456579504,-0.0700571235787055
iforest,CAM-LDS,CasinoLimit,2,44,17,0.5130994989262706,0.7934822409373856,0.1326139284402921,0.22724809927466574,0.04049493813273341,0.6887777497069398,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.021895929640791782,-0.0650273581914608
iforest,CAM-LDS,CasinoLimit,3,45,17,0.5130334232696437,0.7845042056628362,0.13508220798825019,0.23047874284322087,0.04353445181054496,0.6899085460139204,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.007460664309099438,-0.061796714622905674
iforest,CAM-LDS,CasinoLimit,4,46,17,0.5099278674081824,0.7789019123997533,0.12877891558891927,0.2210163320321389,0.04288825598927794,0.6908756989317373,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.011202457683251683,-0.07125912543398763
iforest,CasinoLimit,CAM-LDS,0,42,17,0.9809252715613139,0.8997248022015824,1.0,0.9472159348121322,0.02301346070343031,0.9812607393044687,0.5398601398601398,0.5398601398601398,1.0,0.701180744777475,1.0,0.5863724826414959,0.24603519003465713
iforest,CasinoLimit,CAM-LDS,1,43,17,0.9808271168695197,0.89926078734743,1.0,0.9469587255611875,0.023131883314254136,0.9811894695810958,0.5398601398601398,0.5398601398601398,1.0,0.701180744777475,1.0,0.49541238212671557,0.2457779807837125
iforest,CasinoLimit,CAM-LDS,2,44,17,0.9809252715613139,0.8997248022015824,1.0,0.9472159348121322,0.02301346070343031,0.9810925025108764,0.5398601398601398,0.5398601398601398,1.0,0.701180744777475,1.0,0.41561726222339,0.24603519003465713
iforest,CasinoLimit,CAM-LDS,3,45,17,0.9808271168695197,0.89926078734743,1.0,0.9469587255611875,0.023131883314254136,0.9812729398426426,0.5398601398601398,0.5398601398601398,1.0,0.701180744777475,1.0,0.49022917708181657,0.2457779807837125
iforest,CasinoLimit,CAM-LDS,4,46,17,0.9809252715613139,0.8997248022015824,1.0,0.9472159348121322,0.02301346070343031,0.9809315360675356,0.5398601398601398,0.5398601398601398,1.0,0.701180744777475,1.0,0.5248991827180308,0.24603519003465713
