precision,recall,f1,fpr,auroc,repeat,model,n_total
0.5855931024892227,0.1618557097282546,0.2536135870874488,0.04601534874384274,0.666220552162783,0,iforest,90778
0.40261942900216713,0.16423876696006456,0.2333060333060333,0.09789842652213523,0.7055378891574848,1,iforest,90778
0.6130989228674013,0.19033708728908022,0.2904909954830762,0.0482543506122512,0.6848176748016416,2,iforest,90778
0.5689771652479395,0.1618557097282546,0.2520198695313903,0.04925804110498602,0.6370483122215577,3,iforest,90778
0.39385192668494734,0.10489295460660338,0.1656650276209555,0.06485384722286561,0.6542355168131972,4,iforest,90778
0.4423123633713869,0.1399853941653534,0.2126653236401857,0.0709068729636664,0.6458338818493671,5,iforest,90778
0.586282331746236,0.17511627013106815,0.26968154374334086,0.04964407590988403,0.73666520301356,6,iforest,90778
0.5314432212335998,0.13544989814352154,0.21587846116148002,0.04797640555272464,0.6847100574915312,7,iforest,90778
0.5601845178030849,0.1493638774647346,0.23584390362323238,0.04711168758975309,0.61473470252206,8,iforest,90778
0.5063629222309505,0.12388053964715379,0.199061206843308,0.04851685427958185,0.739504121397316,9,iforest,90778
0.3976993412643791,0.15547526617211824,0.22355476953686304,0.09459396859220827,0.6577206049642487,10,iforest,90778
0.5015623316452968,0.17892147442057116,0.26375432035809393,0.0714318802983277,0.6262819972234137,11,iforest,90778
0.5094398019189106,0.1265326517277165,0.20271560084977985,0.04894921326106762,0.612112659818194,12,iforest,90778
0.5186461289014997,0.1967175308452166,0.28524453114114534,0.07334661293062182,0.669880386460614,13,iforest,90778
0.4508722566122679,0.15397624630049583,0.22955704544152197,0.07533855252389556,0.4963809681432648,14,iforest,90778
