model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop
cnn,CAM-LDS,CasinoLimit,0,42,17,0.9345876754279672,0.9839946005881502,0.784525502556021,0.873011120615911,0.005126542209045568,0.9577072746335857,0.8400951009902717,1.0,0.06569808194736507,0.12329586223391534,0.0,0.8809929707367765,0.7497152583819957
cnn,CAM-LDS,CasinoLimit,1,43,17,0.9181960386877878,0.9708728027962109,0.7366721758849982,0.8377114384369946,0.00887880051265422,0.9553574950056128,0.0646621297386904,0.06920296092270614,0.3586312368571975,0.11601851183788743,0.9960394215713365,0.24709296898211594,0.7216929265991071
cnn,CAM-LDS,CasinoLimit,2,44,17,0.9322853554826059,0.9716130257286623,0.7867163777530076,0.8694433234925557,0.00923395253316039,0.9454283269809693,0.8437595428172577,0.9978150036416606,0.0873000700949468,0.16055314660728934,3.947420360794221e-05,0.7656977730559993,0.7088901768852663
cnn,CAM-LDS,CasinoLimit,3,45,17,0.9323514507920422,0.9792631172839507,0.7804896798247299,0.8686501400979616,0.006639798644245765,0.9563515456823797,0.8433778301269468,1.0,0.08487860829669279,0.15647577092511014,0.0,0.8796529087668129,0.7121743691728515
cnn,CAM-LDS,CasinoLimit,4,46,17,0.9320760536693913,0.98207780853854,0.7771841488257678,0.8676994378406214,0.005697873720294622,0.9547557026967444,0.8681128124591022,1.0,0.22940164404511565,0.37319234955683406,0.0,0.7662224351862171,0.49450708828378737
cnn,CasinoLimit,CAM-LDS,0,42,17,0.9970117349387079,0.9829605963791267,0.9998725546421972,0.9913444528683346,0.003578994460453427,0.9994899431322696,0.2894644076758686,0.28563311869165126,0.9854710381673522,0.4428955164580796,0.9901483917790028,0.5424861611945656,0.5484489364102549
cnn,CasinoLimit,CAM-LDS,1,43,17,0.9965863979409327,0.980564929383827,0.9998725546421972,0.9901246253352264,0.004092159107356675,0.9994765016624414,0.2551389103086651,0.23453134572187054,0.7063074143829035,0.3521352125631174,0.926112938342521,0.426036937100427,0.637989412772109
cnn,CasinoLimit,CAM-LDS,2,44,17,0.9716005758408586,0.9918827508455468,0.8409481934620532,0.9102007034967928,0.0014210713298859195,0.9993423611429783,0.24663464716120645,0.23383753360637202,0.7154168428335319,0.35246887279269046,0.9416933030682046,0.45358979686836987,0.5577318307041024
cnn,CasinoLimit,CAM-LDS,3,45,17,0.9968372377088514,0.9819763439514363,0.9998725546421972,0.9908436473857034,0.003789523546362452,0.9992777337578236,0.32488047764876954,0.29281073396543417,0.9579121343736787,0.4485197516422208,0.9294328376646438,0.5844338515397962,0.5423238957434826
cnn,CasinoLimit,CAM-LDS,4,46,17,0.9969572045543778,0.9826528056112225,0.9998725546421972,0.9911878967815293,0.0036447847997999974,0.9992194426703105,0.25902751768049526,0.23905864490415638,0.7262174731906061,0.3597075733922248,0.9286607680548479,0.6302909513862531,0.6314803233893045
