model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop,recalibrated_accuracy,recalibrated_precision,recalibrated_recall,recalibrated_f1,recalibrated_fpr,recalibrated_auroc,recalibration_n_labeled_samples,f1_recovered_by_recalibration
cnn,CAM-LDS,CasinoLimit,0,42,17,0.934543611888343,0.9866194793232171,0.7822193181381405,0.8726095532115599,0.004261824246074026,0.9572577441734893,0.8433996422806788,0.9940740740740741,0.08551583508570701,0.15748401103092177,0.00010526454295451255,0.7640314642849216,0.7151255421806381,0.9397408858089786,0.9771892222902633,0.5582473325170544,0.7105643994211288,0.001990382046486775,0.7049783939290606,5398,0.553080388390207
cnn,CAM-LDS,CasinoLimit,1,43,17,0.916642798916037,0.9876308277830638,0.7181458277280239,0.8316012017358406,0.00361328577384537,0.9561551381414739,0.8289272782794573,0.8888888888888888,0.0005097814312113681,0.0010189784740797351,1.315806786931407e-05,0.765570087896539,0.8305822232617609,0.9591628618443925,0.9818469785575049,0.7048277068392513,0.8205885347724264,0.001990382046486775,0.705328725451056,5398,0.8195695562983467
cnn,CAM-LDS,CasinoLimit,2,44,17,0.9335191345920818,0.9437289038905667,0.8167352115924204,0.8756516184863907,0.019564243912231126,0.9532703683131469,0.843454172665009,1.0,0.08532466704900274,0.1572334429309535,0.0,0.765732649943216,0.7184181755554372,0.9590353906412961,0.9794828214155639,0.7056148329543467,0.8202938335620965,0.0022575474218541275,0.7055181443937025,5398,0.663060390631143
cnn,CAM-LDS,CasinoLimit,3,45,17,0.933265769239243,0.9771455892899833,0.7855248491371026,0.8709196283985341,0.0073809854696499436,0.9554257227290736,0.829156305893644,0.9117647058823529,0.0019754030459440517,0.003942264894766961,3.947420360794221e-05,0.7655668111661984,0.8669773635037671,0.9591396852620112,0.9805542051531356,0.7056148329543467,0.8206693113620182,0.0021373230029388193,0.705360050906757,5398,0.8167270464672511
cnn,CAM-LDS,CasinoLimit,4,46,17,0.9331225627354646,0.9560128029263831,0.8036283968174655,0.8732223776807901,0.01485461929247541,0.9571891161264311,0.8289381843563234,1.0,0.0005097814312113681,0.0010190433730335648,0.0,0.7644223661406123,0.8722033343077565,0.9591628618443925,0.9818469785575049,0.7048277068392513,0.8205885347724264,0.001990382046486775,0.7054944549048258,5398,0.8195694913993928
cnn,CasinoLimit,CAM-LDS,0,42,17,0.9968045194782533,0.9855593391348215,0.995921748550309,0.990713448068207,0.003013197542072922,0.9991408304884953,0.28647910286633327,0.28651382110238305,0.9995771995233885,0.44536922866146045,1.0,0.4598346820704207,0.5453442194067466,0.39224905779275077,0.05490871512228729,0.0655724217368053,0.05976864958098202,0.471327950523965,0.4840246332703967,8259,-0.3856005790804784
cnn,CasinoLimit,CAM-LDS,1,43,17,0.9965863979409327,0.9804448331875547,1.0,0.9901258714785955,0.004118475243095304,0.9988988882239256,0.28864923219282207,0.2859220929199609,0.9896990429334666,0.4436690703264325,0.9929896079430521,0.30903634692966936,0.5464568011521631,0.7040196803160484,0.31629392971246006,0.004072565716401333,0.008041588823003818,0.0036763442707438585,0.3297001832947499,8259,-0.43562748150342867
cnn,CasinoLimit,CAM-LDS,2,44,17,0.9968154255551193,0.9858666161902959,0.9956668578347033,0.9907425020607444,0.0029474072027263517,0.9989868836936732,0.29341911035713497,0.28752633280203305,0.9915055540608064,0.4457808422762542,0.9870292305554269,0.4216812967670365,0.5449616597844902,0.3894254656503351,0.04593738028070909,0.05425973919124604,0.049752932744898344,0.4706064250128844,0.45540309025505515,8259,-0.39602790953135586
cnn,CasinoLimit,CAM-LDS,3,45,17,0.9968590498625834,0.9819785995870096,1.0,0.9909073688198522,0.003789523546362452,0.9993606992620356,0.33318645486791953,0.2990393013100437,0.9870469308529038,0.4590140492617881,0.9294946032334275,0.4024747848703868,0.5318933195580641,0.707546140888765,0.671875,0.014151137438808671,0.02771846420369848,0.0028861020443222813,0.4257831997807476,8259,-0.4312955850580896
cnn,CasinoLimit,CAM-LDS,4,46,17,0.9968917680931815,0.9822233350025038,0.9999362773210986,0.9910006631090341,0.0037368912748851958,0.9990914020007007,0.28567494326819276,0.2859253705010586,0.9966560325940731,0.4443682789940448,0.9999536758234122,0.44860681325348783,0.5466323841149894,0.70740071983422,0.6348684210526315,0.01587889259122136,0.030982863105510294,0.0038137777014258718,0.4745534849871298,8259,-0.4133854158885345
