model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop,recalibrated_accuracy,recalibrated_precision,recalibrated_recall,recalibrated_f1,recalibrated_fpr,recalibrated_auroc,recalibration_n_labeled_samples,f1_recovered_by_recalibration
iforest,CAM-LDS,CasinoLimit,0,42,17,0.6980105311859701,0.35052428846565375,0.06295883460814083,0.10674486803519062,0.046864625314618366,0.7666422767808545,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.018631822426014053,-0.18553058943093592,0.8675342434004681,0.6363636363636364,0.0006122092006297008,0.0012232415902140672,5.343307507347048e-05,0.017873612458607947,5398,-0.29105221587591246
iforest,CAM-LDS,CasinoLimit,1,43,17,0.7078917799466831,0.4579266240323124,0.10458546335088596,0.1702806721111424,0.049736724263059556,0.7701474873503635,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.003411999436982604,-0.12199478535498415,0.8674994785268965,0.0,0.0,0.0,0.0,0.002952250416157865,5398,-0.29227545746612654
iforest,CAM-LDS,CasinoLimit,2,44,17,0.7102381634316685,0.4758782988737603,0.10881346811700042,0.1771256960520553,0.04814626086687976,0.7952272532812688,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.01962240701891335,-0.11514976141407124,0.8672445361207036,0.2962962962962963,0.0013993353157250306,0.002785515320334262,0.0005076142131979696,0.01850132666745521,5398,-0.28948994214579227
iforest,CAM-LDS,CasinoLimit,3,45,17,0.7088501619335081,0.46548554237004847,0.10704539339662528,0.1740625,0.049381572242553386,0.7736661344297668,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.018491164080731547,-0.11821295746612653,0.867429948779753,0.4605263157894737,0.0030610460031485045,0.006081668114682885,0.0005476890195030724,0.017802346550363213,5398,-0.2861937893514437
iforest,CAM-LDS,CasinoLimit,4,46,17,0.7059860318579392,0.43920505871725385,0.09343890533112964,0.1540948275862069,0.04793008137613687,0.79558335848146,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.016801667076304077,-0.13818062987991964,0.8663754142814101,0.02912621359223301,0.00026237537169844326,0.0005200658750108347,0.0013358268768367619,0.016015998215034365,5398,-0.2917553915911157
iforest,CasinoLimit,CAM-LDS,0,42,17,0.9809252715613139,0.8997248022015824,1.0,0.9472159348121322,0.02301346070343031,0.9812607393044687,0.28660027760029966,0.28660027760029966,1.0,0.445515647073933,1.0,0.5363920813637362,0.5017002877381992,0.70740071983422,0.5738738738738739,0.026204286478259082,0.05011998898461781,0.008125751589074042,0.5444887955450797,8259,-0.3953956580893152
iforest,CasinoLimit,CAM-LDS,1,43,17,0.9808271168695197,0.89926078734743,1.0,0.9469587255611875,0.023131883314254136,0.9811894695810958,0.28660027760029966,0.28660027760029966,1.0,0.445515647073933,1.0,0.4692147013779121,0.5014430784872546,0.7264387595584048,0.8132899963885879,0.09264058579127073,0.16633429352241672,0.008881635457825115,0.49288899202473824,8259,-0.2791813535515163
iforest,CasinoLimit,CAM-LDS,2,44,17,0.9809252715613139,0.8997248022015824,1.0,0.9472159348121322,0.02301346070343031,0.9810925025108764,0.28660027760029966,0.28660027760029966,1.0,0.445515647073933,1.0,0.4132284551031568,0.5017002877381992,0.4075667422048256,0.09726682834108934,0.1220946974371632,0.10827572369261076,0.47321766019584266,0.4346578689398617,8259,-0.33723992338132225
iforest,CasinoLimit,CAM-LDS,3,45,17,0.9808271168695197,0.89926078734743,1.0,0.9469587255611875,0.023131883314254136,0.9812729398426426,0.28660027760029966,0.28660027760029966,1.0,0.445515647073933,1.0,0.47278210632836065,0.5014430784872546,0.7239423647887153,0.7266528313074414,0.10082685425151179,0.17708258073838595,0.015839202886102046,0.4852372240078067,8259,-0.26843306633554703
iforest,CasinoLimit,CAM-LDS,4,46,17,0.9809252715613139,0.8997248022015824,1.0,0.9472159348121322,0.02301346070343031,0.9809315360675356,0.28660027760029966,0.28660027760029966,1.0,0.445515647073933,1.0,0.5182142245429493,0.5017002877381992,0.7032683382008992,0.37446808510638296,0.010860175243736888,0.021108179419525065,0.007576017866345989,0.5292113371075231,8259,-0.4244074676544079
