model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop,recalibrated_accuracy,recalibrated_precision,recalibrated_recall,recalibrated_f1,recalibrated_fpr,recalibrated_auroc,recalibration_n_labeled_samples,f1_recovered_by_recalibration
mlp,CAM-LDS,CasinoLimit,0,42,17,0.9379144726695895,0.9704538109967222,0.807971710804474,0.8817903435546793,0.009882491005389045,0.9592206536289384,0.829516206430223,0.9841269841269841,0.003950806091888103,0.00787001777100787,1.315806786931407e-05,0.2168041029077555,0.8739203257836715,0.2700404858299595,1.0,0.23496340299140767,0.3805188112008246,0.0,0.5129409654435348,81812,0.3726487934298167
mlp,CAM-LDS,CasinoLimit,1,43,17,0.938674568728106,0.9715023517476713,0.8097782219318138,0.8832987443137749,0.009542780377078798,0.9596655802192857,0.07808751036077302,0.08450126148311786,0.4460587523099471,0.14208581983518045,0.9978947091409097,0.2150490356616566,0.7412129244785944,0.08299595141700405,0.9816272965879265,0.039673278879813305,0.07626427406199021,0.01545253863134658,0.31285999001037595,81812,-0.06582154577319024
mlp,CAM-LDS,CasinoLimit,2,44,17,0.9388838705413206,0.9704435761893817,0.8114694238382596,0.8838650255379721,0.009928815181976807,0.959627895791562,0.8492889237883349,0.6970971813209929,0.21117695787930924,0.3241551327823153,0.01894761773181226,0.21377968499582167,0.5597098927556567,0.04878542510121457,0.8372093023255814,0.0038188182878964674,0.007602956705385427,0.01545253863134658,0.2635872116889373,81812,-0.31655217607692987
mlp,CAM-LDS,CasinoLimit,3,45,17,0.9336953887505783,0.9237582641125615,0.8377983626090633,0.8786809908693286,0.02777906456046077,0.9594761645421909,0.8656698512411115,0.9997039668442865,0.21519148665009877,0.3541502805306486,1.315806786931407e-05,0.5796350926775174,0.52453071033868,0.2430161943319838,0.9899396378269618,0.20876206640500689,0.34480946123521683,0.04415011037527594,0.5291409696117324,81812,-0.00934081929543179
mlp,CAM-LDS,CasinoLimit,4,46,17,0.9361298993148119,0.9852171826253899,0.7889841257639236,0.8762486126526082,0.004755948796343478,0.9595133510136532,0.8647864590149631,0.9975838115372999,0.2104760084113936,0.34761102925699855,0.00010526454295451255,0.4377265858925639,0.5286375833956096,0.41012145748987855,0.965588615782665,0.3958841625119338,0.5615407764068613,0.293598233995585,0.44314449759286595,81812,0.21392974714986274
mlp,CAM-LDS,CasinoLimit,5,47,17,0.9382449492167706,0.9697151010263727,0.8098166583387785,0.8825821045576407,0.010160436064915613,0.9589358499489631,0.8298106705056058,1.0,0.005607595743325049,0.011152651923198783,0.0,0.29858153915431107,0.8714294526344419,0.07945344129554656,0.8990384615384616,0.039673278879813305,0.07599309153713299,0.09271523178807947,0.3133765655035756,81812,0.06484043961393421
mlp,CAM-LDS,CasinoLimit,6,48,17,0.9369891383374827,0.9511446988219604,0.8223853634162278,0.8820910290237467,0.0169700900233165,0.9601369032395792,0.07970160973694543,0.08611402335418097,0.4553622634295546,0.14483765049252098,0.9978683930051712,0.43626655098567646,0.7372533785312257,0.40668016194331985,0.9719353984643897,0.3894133870796648,0.5560436231445016,0.23399558498896247,0.43613255898526404,81812,0.41120597265198067
mlp,CAM-LDS,CasinoLimit,7,49,17,0.9385423781092335,0.9689335535976505,0.8115847330591537,0.8833064904097555,0.0104538225166381,0.959525050908505,0.07819657112943332,0.08450143069289,0.4459950296310457,0.14208282582216808,0.9977499703943473,0.43193263156116135,0.7412236645875874,0.40799595141700407,0.9760510910058542,0.3890951522223401,0.556389836935912,0.1986754966887417,0.4890450167676284,81812,0.41430701111374396
mlp,CAM-LDS,CasinoLimit,8,50,17,0.9386415210733878,0.970673541733806,0.8103932044432487,0.8833214629854623,0.009836166828801285,0.959479433604274,0.11689133185010687,0.12218582524047088,0.6726565984834002,0.2068060262915581,0.9978683930051712,0.2158573408100572,0.6765154366939042,0.045040485829959516,0.3333333333333333,0.000848626286199215,0.0016929425457623533,0.03532008830022075,0.4278788253457321,81812,-0.20511308374579573
mlp,CAM-LDS,CasinoLimit,9,51,17,0.9379475203243076,0.9650908095281555,0.8128915708959527,0.882476893868269,0.011812665029879094,0.9593300514739522,0.07879640535706496,0.08519903498190591,0.45007328108073663,0.14327589179759212,0.9978683930051712,0.13609384272963973,0.7392010020706768,0.042408906882591094,0.16,0.000848626286199215,0.001688297984594281,0.09271523178807947,0.285381030626651,81812,-0.14158759381299785
mlp,CAM-LDS,CasinoLimit,10,52,17,0.9384212033752671,0.9640179910044977,0.81558211938348,0.8836095610893645,0.012229582619168945,0.959481796374091,0.07962526719888322,0.08603692634014655,0.45491620467724464,0.14470603735722465,0.9978683930051712,0.4445155997170263,0.7389035237321399,0.2843117408906883,0.9388971684053651,0.26731728015275275,0.41615060688630173,0.3620309050772627,0.3916859914139814,81812,0.2714445695290771
