precision,recall,f1,fpr,auroc,repeat,model,n_total
0.0,0.0,0.0,0.0,0.0036040176795633606,0,cnn,91692
0.0,0.0,0.0,0.0,0.02250112613918752,1,cnn,91692
0.9856214920855143,0.995921748550309,0.9907448494453249,0.003000039474203608,0.9964997862532956,2,cnn,91692
0.0,0.0,0.0,0.0,0.996499774514753,3,cnn,91692
0.9856214920855143,0.995921748550309,0.9907448494453249,0.003000039474203608,0.9964995984366127,4,cnn,91692
0.9856214920855143,0.995921748550309,0.9907448494453249,0.003000039474203608,0.9964997594223409,5,cnn,91692
0.0,0.0,0.0,0.0,0.0037287510147750265,6,cnn,91692
0.0,0.0,0.0,0.0,0.003566290841879062,7,cnn,91692
0.0,0.0,0.0,0.0,0.0036319855959495136,8,cnn,91692
0.0,0.0,0.0,0.0,0.0036366445396897973,9,cnn,91692
0.0,0.0,0.0,0.0,0.0037897985636479244,10,cnn,91692
0.0,0.0,0.0,0.0,0.004534794397542687,11,cnn,91692
0.0,0.0,0.0,0.0,0.0036450480785427952,12,cnn,91692
0.0,0.0,0.0,0.0,0.9964997862532956,13,cnn,91692
0.0,0.0,0.0,0.0,0.022592665810355045,14,cnn,91692
