precision,recall,f1,fpr,auroc,repeat,model,n_total
0.1711621312101216,1.0,0.2922945109799028,0.9999078935249148,0.9964610423547354,0,xgb,91692
0.0,0.0,0.0,0.0,0.49057882340557113,1,xgb,91692
0.0,0.0,0.0,0.0,0.49962499506572455,2,xgb,91692
0.17115653084373092,1.0,0.29228634488410427,0.9999473677285228,0.9964609618618714,3,xgb,91692
0.1739009984375173,1.0,0.2962788151112957,0.9809076435216253,0.02259257022507899,4,xgb,91692
0.17115653084373092,1.0,0.29228634488410427,0.9999473677285228,0.9964609618618714,5,xgb,91692
0.17115653084373092,1.0,0.29228634488410427,0.9999473677285228,0.9964609618618714,6,xgb,91692
0.0,0.0,0.0,0.0,0.4999671048303267,7,xgb,91692
0.0,0.0,0.0,0.0,0.49993420966065344,8,xgb,91692
0.17115653084373092,1.0,0.29228634488410427,0.9999473677285228,0.9964609618618714,9,xgb,91692
0.0,0.0,0.0,0.0,0.4999276306267188,10,xgb,91692
0.1739009984375173,1.0,0.2962788151112957,0.9809076435216253,0.02259257022507899,11,xgb,91692
0.0,0.0,0.0,0.0,0.4999276306267188,12,xgb,91692
0.0,0.0,0.0,0.0,0.4909669864077159,13,xgb,91692
0.0,0.0,0.0,0.0,0.49061171857524444,14,xgb,91692
