model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop
mlp,CAM-LDS,CasinoLimit,0,42,17,0.8776719343648478,0.9774581906105179,0.7916649667496226,0.8748055812275995,0.02142019481607352,0.9559058014678072,0.10525454783405314,0.11142736664558296,0.6061938443892181,0.18825135801003295,0.9981841866340346,0.013513509264523646,0.6865542232175665
mlp,CAM-LDS,CasinoLimit,1,43,17,0.8782335774461759,0.9864688244791266,0.7852188813185916,0.8744136387901367,0.012636718282555106,0.9561978634327838,0.08012694673472058,0.08675238370413176,0.45918562416363984,0.14593395911175916,0.9981447124304267,0.18036855732171073,0.7284796796783775
mlp,CAM-LDS,CasinoLimit,2,44,17,0.878277627883927,0.9872443087031286,0.78466810819632,0.8743763141444565,0.011894789747026303,0.9561561221961762,0.11846180691881517,0.12377695888733582,0.6827885044287262,0.20956385683551731,0.9980657640232108,0.013933841323630628,0.6648124573089391
mlp,CAM-LDS,CasinoLimit,3,45,17,0.8745443532845107,0.9876373626373627,0.7773448655705602,0.8699632445266305,0.011416126175717398,0.9504478350185419,0.12594337564891156,0.13075909481523917,0.7272032116230166,0.22166109859373787,0.9982105027697733,0.004378976982098786,0.6483021459328927
mlp,CAM-LDS,CasinoLimit,4,46,17,0.8714828478608007,0.9892847786219544,0.7702868100036718,0.8661574456372144,0.009788670033267118,0.9497410326773346,0.11648780700606377,0.12213351845424042,0.6726565984834002,0.20673109877304818,0.9983552415163357,0.1320685958309223,0.6594263468641662
mlp,CAM-LDS,CasinoLimit,5,47,17,0.8747866306921425,0.9787650679009205,0.7850964872914202,0.8712985601738658,0.019984204102146807,0.9500824747039041,0.08557998516773546,0.09230456318346056,0.49162046772446316,0.15542684462352052,0.9982631350412505,0.013289075036350904,0.7158717155503452
mlp,CAM-LDS,CasinoLimit,6,48,17,0.8786630692142503,0.9858355491920638,0.7865448166129493,0.8749858170513083,0.013258980925256684,0.9560779263376249,0.1688369759630066,0.16917038397620923,0.9859810106416874,0.28879121289323145,0.9998947354570454,0.008190120408663243,0.5861946041580768
mlp,CAM-LDS,CasinoLimit,7,49,17,0.8766257364682561,0.977211356466877,0.7898902533556362,0.8736223448058028,0.021611660244597083,0.9500058911688448,0.11801465776730795,0.12355319394709484,0.6815777735295991,0.20918611814634813,0.9983552415163357,0.008557663822135212,0.6644362266594547
mlp,CAM-LDS,CasinoLimit,8,50,17,0.8769451021419525,0.9773724837293779,0.7903594304597935,0.8739736533429577,0.021468061173204413,0.9504941681426902,0.1167168346202504,0.12233802588809588,0.6739310520614287,0.20708425525249163,0.9983420834484664,0.008428251419967265,0.6668893980904661
mlp,CAM-LDS,CasinoLimit,9,51,17,0.8799735697373493,0.9841261778376045,0.7904206274733793,0.8767011708807059,0.014958236603403298,0.956412877572121,0.1687715395018104,0.16909416961903512,0.9854075065315746,0.2886555602221289,0.9998552612534376,0.23245232778474811,0.588045610658577
mlp,CAM-LDS,CasinoLimit,10,52,17,0.8739827102031826,0.9868629025989168,0.77691648647546,0.8693945100724761,0.012134121532680755,0.9503261884455009,0.12569253588099288,0.1307584816621996,0.7274581023386223,0.2216720550684958,0.9985657706022447,0.013776287023104721,0.6477224550039804
mlp,CAM-LDS,CasinoLimit,11,53,17,0.8787181322614394,0.986235128565946,0.7863204275631349,0.8750042561884981,0.01287605006820956,0.9559229199249617,0.125736160188457,0.13067986526431566,0.7268208755496081,0.22152949745083758,0.9983815576520744,0.004865626357271606,0.6534747587376605
mlp,CAM-LDS,CasinoLimit,12,54,17,0.876978139970266,0.9777357061719045,0.7901146424054506,0.8739691099653644,0.021109063494722736,0.9507784709381724,0.08689962046852506,0.09383992644688295,0.5007965334862677,0.1580619858812172,0.9985657706022447,0.005667663543118451,0.7159071240841471
mlp,CAM-LDS,CasinoLimit,13,55,17,0.8768900390947635,0.9766481094289241,0.790869405573008,0.8739954237536491,0.02218605653016777,0.9548519712107854,0.12350041443092091,0.12857356167373052,0.7133116676225069,0.21787535521040133,0.9982894511769892,0.016206770729870423,0.6561200685432478
mlp,CAM-LDS,CasinoLimit,14,56,17,0.8781895270084247,0.9863926402378085,0.7851984823140631,0.8743710602532796,0.012708517818251441,0.9562340964060166,0.11680408323517864,0.12216576580747462,0.6725928758044988,0.2067742820201387,0.9979604994802563,0.013677444301459785,0.6675967782331409
mlp,CasinoLimit,CAM-LDS,0,42,17,0.9968917680931815,0.9822837110304244,0.9998725546421972,0.9910000947358449,0.0037237332070158818,0.9993848915600179,0.545366444579043,0.5469867521523198,0.9188935579943699,0.6857621313035205,0.8928750927410669,0.3169965729193943,0.30523796343232446
mlp,CasinoLimit,CAM-LDS,1,43,17,0.9951577018714828,0.9879055480898445,0.9837507168801376,0.985823754789272,0.0024868748273003593,0.9994089010721212,0.4432795550905787,0.34239242330656783,0.03392354453102689,0.06173091557007369,0.07644257233803221,0.4214779975774734,0.9240928392191983
mlp,CasinoLimit,CAM-LDS,2,44,17,0.9969790167081097,0.982775898784918,0.9998725546421972,0.9912505132821631,0.0036184686640613694,0.9993934531499631,0.548152634766808,0.5483507973767635,0.924462486230672,0.6883829024516207,0.8933537563123759,0.5009438529515357,0.30286761083054237
