model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop
cnn,CAM-LDS,CasinoLimit,0,42,17,0.8573316447332195,0.9932711507426352,0.7407490514462894,0.848622942008156,0.005887561927099538,0.9496641930745472,0.10198272477424421,0.10810969729755157,0.5858025871407634,0.18253298519761335,0.9979210252766484,0.2935575372177601,0.6660899568105427
cnn,CAM-LDS,CasinoLimit,1,43,17,0.8670227410384891,0.978898250162022,0.7702868100036718,0.8621528134525155,0.019481607352272456,0.9360145599592582,0.17086550626008812,0.17090679001570955,0.9982794876696617,0.2918486917480928,0.9999868419321307,0.3365914777876668,0.5703041217044227
cnn,CAM-LDS,CasinoLimit,2,44,17,0.8659545179230218,0.9876919004764425,0.7611888539839256,0.8597728162945554,0.011128928032932054,0.9475689627080469,0.16245692099637918,0.1637704286578991,0.9482571847320461,0.2793032902269187,0.9998026289819603,0.29371920965059606,0.5804695260676367
cnn,CAM-LDS,CasinoLimit,3,45,17,0.8586091074280051,0.9915233515363925,0.7444616702704908,0.8504118654534015,0.007467151712418926,0.9405602747533195,0.10353138768922043,0.10999038258544251,0.5975912827375263,0.18578574612451093,0.9984868221950289,0.29373844199506505,0.6646261193288906
cnn,CAM-LDS,CasinoLimit,4,46,17,0.85833379219206,0.9927769297863062,0.7429929419444331,0.8499124956247812,0.006342292319842999,0.9492575001575976,0.11105658072678096,0.11715296198054818,0.6416873765373097,0.19813279028814842,0.9985131383307675,0.2934339085632607,0.6517797053366328
cnn,CAM-LDS,CasinoLimit,5,47,17,0.8655140135455096,0.9927974724215487,0.7563746889151809,0.8586083130716684,0.00643802503410478,0.9475984017089222,0.11614971862321685,0.1219323112525311,0.6715095902631747,0.20638868759670184,0.9985262963986368,0.2401507453756177,0.6522196254749666
cnn,CAM-LDS,CasinoLimit,6,48,17,0.8591707505093332,0.9929527644754027,0.7444208722614336,0.850910532329144,0.006198693248450327,0.9486439106191598,0.14833355145487065,0.1516802500837334,0.8657363155547059,0.25813438720158083,0.9998026289819603,0.2936313458202199,0.5927761451275633
cnn,CAM-LDS,CasinoLimit,7,49,17,0.86265073509168,0.9912898542932416,0.7521928929868222,0.8553467872883321,0.00775434985520427,0.9476585917831583,0.11789469092178162,0.12354619267061663,0.6816414962085006,0.20917908404708827,0.9985131383307675,0.2938471606042012,0.6461677032412438
cnn,CAM-LDS,CasinoLimit,8,50,17,0.8566378503386377,0.9931514354591278,0.7395455101791033,0.8477889764516053,0.005983294641361319,0.945544985322769,0.8527134319242682,0.7169773899246331,0.23035748422863697,0.348685796961659,0.018776562849511177,0.24765717616643154,0.4991031794899463
cnn,CAM-LDS,CasinoLimit,9,51,17,0.864864269588679,0.9919680865304811,0.7558035167883808,0.8579301402058513,0.007179953569633583,0.9480689323836715,0.11907254722331283,0.12463808238456126,0.6885235455298541,0.21106813564619473,0.9985131383307675,0.2938280808607868,0.6468620045596566
cnn,CAM-LDS,CasinoLimit,10,52,17,0.8643797147734156,0.9920905166635386,0.7548039655664803,0.8573315260834811,0.007060287676806357,0.9472135704827027,0.13787462374034812,0.1416580885264075,0.7979991078824954,0.24060482631417154,0.9984341899235516,0.21769739636281102,0.6167266997693095
