model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop
iforest,CAM-LDS,CasinoLimit,0,42,17,0.5122515279995595,0.7728950403690888,0.1366937293460079,0.2323025722803855,0.04712442859536175,0.691186307621052,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.24088126465176068,-0.05997288518574104
iforest,CAM-LDS,CasinoLimit,1,43,17,0.5133748141622158,0.7690338379341051,0.14093672228795234,0.2382167361997035,0.04966134552329895,0.6970020287584553,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.22975401245754684,-0.054058721266423054
iforest,CAM-LDS,CasinoLimit,2,44,17,0.5141897472606134,0.7777274784970575,0.1401819591203949,0.23754709806768295,0.04700476270253452,0.6935957360189758,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.23699740263027053,-0.05472835939844359
iforest,CAM-LDS,CasinoLimit,3,45,17,0.5141126589945487,0.7742585338556239,0.14112031332870956,0.23872871266628706,0.04827322116650312,0.693132507790442,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.01757434071688758,-0.05354674479983948
iforest,CAM-LDS,CasinoLimit,4,46,17,0.5127140575959473,0.7828199052132702,0.1347762229203215,0.22996066965994919,0.043869516310461196,0.6912989351909063,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.22896645434485374,-0.06231478780617736
iforest,CAM-LDS,CasinoLimit,5,47,17,0.5131765871923353,0.7778034148592524,0.13753008853167967,0.23373201594730456,0.0460953019170476,0.6943022383532838,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.020421691935736994,-0.05854344151882199
iforest,CAM-LDS,CasinoLimit,6,48,17,0.5130444358790816,0.7733272644515248,0.13863163477622292,0.23511503200138384,0.04767489170236699,0.6927928426151513,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.010868455897767363,-0.057160425464742703
iforest,CAM-LDS,CasinoLimit,7,49,17,0.5122184901712461,0.7711271643160188,0.13718330545469382,0.23292866667821208,0.04777062441662877,0.6942098057149166,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.23856622238521358,-0.059346790787914466
iforest,CAM-LDS,CasinoLimit,8,50,17,0.5156213864875282,0.7771177117711772,0.1440985679898821,0.24311674008810572,0.04848861977359213,0.6914140926806194,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.23662288694168435,-0.04915871737802083
iforest,CAM-LDS,CasinoLimit,9,51,17,0.5118550740597985,0.7760404420409123,0.13465382889315,0.22948824920038938,0.04559270516717325,0.6936938780644809,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.23825143869025361,-0.06278720826573717
iforest,CAM-LDS,CasinoLimit,10,52,17,0.5140355707284842,0.7776265032902201,0.1398147770388805,0.23701500795352376,0.04690902998827274,0.6941499324909292,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.23984458196331648,-0.05526044951260278
iforest,CAM-LDS,CasinoLimit,11,53,17,0.5105665987555751,0.7615077098800686,0.13600016319203623,0.23078387593679145,0.04997247684464974,0.6934183701824105,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.22911404723422046,-0.06149158152933509
iforest,CAM-LDS,CasinoLimit,12,54,17,0.5137822807114145,0.7817887307647807,0.13783607359960834,0.23435359403450967,0.045137974774429795,0.6940762882423445,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.01990756892067121,-0.05792186343161687
iforest,CAM-LDS,CasinoLimit,13,55,17,0.5118991244975497,0.7754336615096109,0.1349598139610787,0.22990582757062933,0.04585597013139315,0.6934806410205291,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.24152648119599873,-0.062369629895497214
iforest,CAM-LDS,CasinoLimit,14,56,17,0.5129893728318925,0.7821945195813242,0.13567377911957895,0.23123859191655802,0.04432424670320465,0.6932001753352611,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.010545858944957357,-0.061036865549568525
iforest,CasinoLimit,CAM-LDS,0,42,17,0.9808271168695197,0.89926078734743,1.0,0.9469587255611875,0.023131883314254136,0.9809639042604896,0.5398601398601398,0.5398601398601398,1.0,0.701180744777475,1.0,0.5990476745509296,0.2457779807837125
iforest,CasinoLimit,CAM-LDS,1,43,17,0.9808271168695197,0.89926078734743,1.0,0.9469587255611875,0.023131883314254136,0.9808819080245154,0.5398601398601398,0.5398601398601398,1.0,0.701180744777475,1.0,0.6101075060395393,0.2457779807837125
