model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop
rf,CAM-LDS,CasinoLimit,0,42,17,0.8650184461208084,0.9954451122550737,0.753416833258537,0.8576835994194485,0.004044707177560252,0.9569001756788652,0.828818217510797,0.0,0.0,0.0,3.947420360794221e-05,0.026509586921882346,0.8576835994194485
rf,CAM-LDS,CasinoLimit,1,43,17,0.8655250261549474,0.9954507523755687,0.7543551874668516,0.8582933933689989,0.004044707177560252,0.9568777469287146,0.8287745932033329,0.0,0.0,0.0,9.210647508519849e-05,0.023084717849793247,0.8582933933689989
rf,CAM-LDS,CasinoLimit,2,44,17,0.8660205935796487,0.9954029786547663,0.7553139406796948,0.8588958478311297,0.0040925735346911424,0.9569050709907962,0.828818217510797,0.0,0.0,0.0,3.947420360794221e-05,0.02263962920418852,0.8588958478311297
rf,CAM-LDS,CasinoLimit,3,45,17,0.8650845217774351,0.9954458487159449,0.7535392272857084,0.857763174699005,0.004044707177560252,0.9569148005880306,0.828818217510797,0.0,0.0,0.0,3.947420360794221e-05,0.02338956612608138,0.857763174699005
rf,CAM-LDS,CasinoLimit,4,46,17,0.8661857827212158,0.9954048316448553,0.7556199257476235,0.8590943352467095,0.0040925735346911424,0.9569695273144896,0.8287636871264669,0.0,0.0,0.0,0.00010526454295451255,0.02255185760521906,0.8590943352467095
rf,CAM-LDS,CasinoLimit,5,47,17,0.8654809757171962,0.9954502624848567,0.7542735914487373,0.8582403936541831,0.004044707177560252,0.956889772347666,0.828818217510797,0.0,0.0,0.0,3.947420360794221e-05,0.022319182920089716,0.8582403936541831
rf,CAM-LDS,CasinoLimit,6,48,17,0.8656131270304499,0.9954517318405683,0.7545183795030802,0.8583993780387333,0.004044707177560252,0.9569381049482291,0.828818217510797,0.0,0.0,0.0,3.947420360794221e-05,0.022721913034458287,0.8583993780387333
rf,CAM-LDS,CasinoLimit,7,49,17,0.8659545179230218,0.9954022370402237,0.7551915466525233,0.8588164335258774,0.0040925735346911424,0.9569319524877768,0.8287636871264669,0.1,6.372267890142101e-05,0.00012736419792396358,0.00011842261082382663,0.022320033125966192,0.8586890693279535
rf,CAM-LDS,CasinoLimit,8,50,17,0.8655360387643852,0.9954508748317631,0.7543755864713801,0.8583066425288957,0.004044707177560252,0.9569136296091071,0.8287636871264669,0.0,0.0,0.0,0.00010526454295451255,0.012976553945491172,0.8583066425288957
rf,CAM-LDS,CasinoLimit,9,51,17,0.8656461648587633,0.9954520990312163,0.754579576516666,0.8584391172170522,0.004044707177560252,0.9569379787451638,0.8287636871264669,0.0,0.0,0.0,0.00010526454295451255,0.022569903099177096,0.8584391172170522
