n_estimators,max_samples,f1_mean,f1_std,auroc_mean,auroc_std,fpr_mean
50,64,0.16823674434354527,0.004380939322659508,0.5112936071660132,0.004299638853199797,0.0461830569051209
50,128,0.1905217164505962,0.0032221541594450102,0.5241078351452365,0.03780931319900538,0.055333508843309474
50,256,0.20681048820432876,0.00818614022378803,0.5486836354871821,0.028423037387901365,0.05815762391403203
50,512,0.23542014373042888,0.013653004491146856,0.5399269511076623,0.044597763761823075,0.0474515153690895
100,64,0.18302055168636633,0.002648314973137891,0.5119707744074501,0.01317494203120891,0.04548899472672299
100,128,0.2035802986654095,0.012673053312086454,0.5287490275622577,0.037787268084173056,0.0560674596526498
100,256,0.21200051080393081,0.007647948472000152,0.537975392556294,0.04375664223674655,0.07038747816097456
100,512,0.2276254473764845,0.007719093051084608,0.5574398373495028,0.0361454267491601,0.04793017894039841
200,64,0.18954833313803643,0.0034771653517479775,0.517936251063771,0.009437528457343377,0.0436062513462413
200,128,0.20092306620295297,0.009169413832592739,0.540940643989209,0.029903954864512607,0.04541719519102666
200,256,0.21979428038025053,0.0051462868787678666,0.5501213967869872,0.04284348319642033,0.04831310979744554
200,512,0.23526989162265574,0.006433601130140262,0.5638072090907085,0.025852971826711934,0.04844075341646124
400,64,0.1849579126176797,0.0035009240665731375,0.5371490361230403,0.032113314463964635,0.045273596119633976
400,128,0.19866152044443863,0.008229898454130026,0.5375588652390485,0.02814453548453999,0.04577619286950833
400,256,0.21534051097011023,0.005512849500951084,0.5517039724017555,0.03070642601617319,0.04769882488093244
400,512,0.2388459605826406,0.007561787480351022,0.5544666311364109,0.03301762621569201,0.048959305618712555
