row_id,true_label,pred_xgb,pred_cnn,llm_verdict,llm_pred,llm_confidence,llm_agrees_with,key_features,rationale,parse_status,error
123,1,0,1,MALICIOUS,1,0.95,cnn,"[""failed_call_rate"", ""exec_count"", ""parent_child_rarity"", ""lifetime_seconds"", ""unique_syscalls""]","Privilege state: UID and EUID are both root with no UID change, but a high failed_call_rate suggests attempts to access restricted resources. | Mechanism: No setuid/setgid execution, but a rare exec chain with a high exec_count and unique_syscalls, indicating unusual command execution. | Behavioural anomaly: Short lifetime_seconds and parent_child_rarity of 1 suggest a rare and brief process execution pattern, which is uncommon for benign activities. | Benign-explanation test: Low events_per_second and a short sequence length (seq_length=5) argue against typical admin scripting or health-check processes. | Decide: The high failed_call_rate and rare exec chain, along with the short process lifetime, support the CNN's MALICIOUS classification.",ok,
1039,0,0,1,MALICIOUS,1,0.95,cnn,"[""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""failed_call_rate""]","Privilege state: process real UID is root and effective UID is root with no UID change, indicating a potential privilege escalation attempt. | Mechanism: no setuid/setgid execution, but a rare exec chain with a high syscall throughput and short lifetime, suggesting a potential malicious script. | Behavioural anomaly: high failed_call_rate and parent_child_rarity, indicating unusual process behavior and a rare exec chain. | Benign-explanation test: short lifetime and high syscall throughput are inconsistent with typical admin scripting or cron jobs. | Decide: the high failed_call_rate and rare exec chain, along with the short lifetime, support the CNN's malicious classification.",ok,
1837,0,0,1,MALICIOUS,1,0.78,cnn,"[""events_per_second"", ""seq_length"", ""auid_euid_mismatch"", ""failed_call_rate""]","Privilege state: UID changed and auid_euid_mismatch set, indicating potential identity spoofing. | Mechanism: No setuid/setgid execution, but a high syscall throughput (events_per_second at p98) and a short-lived privileged process (ephemeral_privileged set). | Behavioural anomaly: High failed_call_rate (p98 vs benign) and exec_count (p82 vs benign) suggest unusual or failed system interactions. | Benign-explanation test: Short lifetime (p42) and unique_syscalls (p51) argue against typical admin scripting or health-checks. | Decide: The high failed_call_rate and exec_count, along with the UID changes, support the CNN's malicious classification.",ok,
2840,0,0,1,MALICIOUS,1,0.97,cnn,"[""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""seq_length"", ""ephemeral_privileged""]","Privilege state: process with real and effective UID as root and no UID change, but parent_child_rarity is very rare. | Mechanism: no setuid/setgid execution, but exec_count is higher than benign, suggesting unusual command chaining. | Behavioural anomaly: high failed_call_rate and parent_child_rarity indicate unusual process behavior, especially with such a short lifetime. | Benign-explanation test: short lifetime and high syscall rate with unique_syscalls suggest a scripted or automated process, but the exec chain rarity argues against it. | Decide: the high failed_call_rate and rare exec chain, along with the CNN's high confidence, support a MALICIOUS verdict.",ok,
2874,0,0,1,MALICIOUS,1,0.78,cnn,"[""events_per_second"", ""seq_length"", ""auid_euid_mismatch"", ""failed_call_rate""]","Privilege state: UID changed and auid_euid_mismatch set, indicating potential identity spoofing. | Mechanism: No setuid/setgid execution, but a high syscall throughput (events_per_second at p98) and a short-lived privileged process (ephemeral_privileged set). | Behavioural anomaly: High failed_call_rate (p98 vs benign) and exec_count (p82 vs benign) suggest unusual or failed system interactions. | Benign-explanation test: Short lifetime (p42) and unique_syscalls (p51) argue against typical admin scripting or health-checks. | Decide: The high failed_call_rate and exec_count, along with the UID changes, support the CNN's malicious classification.",ok,
3781,0,0,1,MALICIOUS,1,0.78,cnn,"[""events_per_second"", ""seq_length"", ""auid_euid_mismatch"", ""failed_call_rate""]","Privilege state: UID changed and auid_euid_mismatch set, indicating potential identity spoofing. | Mechanism: No setuid/setgid execution, but a high syscall throughput (events_per_second at p98) and a short-lived privileged process (ephemeral_privileged set). | Behavioural anomaly: High failed_call_rate (p98 vs benign) and exec_count (p82 vs benign) suggest unusual or failed system interactions. | Benign-explanation test: Short lifetime (p42) and unique_syscalls (p51) argue against typical admin scripting or health-checks. | Decide: The high failed_call_rate and exec_count, along with the UID changes, support the CNN's malicious classification.",ok,
3893,0,0,1,MALICIOUS,1,0.95,cnn,"[""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""failed_call_rate""]","Privilege state: process real UID is root and effective UID is root with no UID change, indicating a potential privilege escalation attempt. | Mechanism: no setuid/setgid execution, but a rare exec chain with a high syscall throughput and short lifetime, suggesting a potential malicious script. | Behavioural anomaly: high failed_call_rate and parent_child_rarity, indicating unusual process behavior and a rare exec chain. | Benign-explanation test: short lifetime and high syscall throughput are inconsistent with typical admin scripting or cron jobs. | Decide: the high failed_call_rate and rare exec chain, along with the short lifetime, support the CNN's malicious classification.",ok,
5351,1,0,1,MALICIOUS,1,0.95,cnn,"[""failed_call_rate"", ""exec_count"", ""parent_child_rarity"", ""lifetime_seconds"", ""unique_syscalls""]","Privilege state: UID and EUID are both root with no UID change, but a high failed_call_rate suggests attempts to access restricted resources. | Mechanism: No setuid/setgid execution, but a rare exec chain with a high exec_count and unique_syscalls, indicating unusual command execution. | Behavioural anomaly: Short lifetime_seconds and parent_child_rarity of 1 suggest a rare and brief process execution pattern, which is uncommon for benign activities. | Benign-explanation test: Low events_per_second and a short sequence length (seq_length=5) argue against typical admin scripting or health-check processes. | Decide: The high failed_call_rate and rare exec chain, along with the short process lifetime, support the CNN's MALICIOUS classification.",ok,
5947,0,0,1,MALICIOUS,1,0.95,cnn,"[""unique_syscalls"", ""exec_count"", ""parent_child_rarity"", ""lifetime_seconds""]","Privilege state: UID changed and effective UID is root with max_uid_euid_delta at p50, indicating potential privilege escalation. | Mechanism: No setuid/setgid execution, but exec_count is at p35, suggesting unusual command execution. | Behavioural anomaly: unique_syscalls at p98 and parent_child_rarity of 1, indicating rare and potentially malicious behavior. | Benign-explanation test: Short lifetime (p42) and high syscall throughput (p56) argue against typical admin scripting or cron jobs. | Decide: The unusual exec chain and syscall uniqueness, along with the privilege state, support the CNN's malicious classification.",ok,
7190,0,0,1,MALICIOUS,1,0.78,cnn,"[""events_per_second"", ""seq_length"", ""auid_euid_mismatch"", ""failed_call_rate""]","Privilege state: UID changed and auid_euid_mismatch set, indicating potential identity spoofing. | Mechanism: No setuid/setgid execution, but a high syscall throughput (events_per_second at p98) and a short-lived privileged process (ephemeral_privileged set). | Behavioural anomaly: High failed_call_rate (p98 vs benign) and exec_count (p82 vs benign) suggest unusual or failed system interactions. | Benign-explanation test: Short lifetime (p42) and unique_syscalls (p51) argue against typical admin scripting or health-checks. | Decide: The high failed_call_rate and exec_count, along with the UID changes, support the CNN's malicious classification.",ok,
