row_id,true_label,pred_xgb,pred_cnn,llm_verdict,llm_pred,llm_confidence,key_features,rationale,parse_status,error,llm_agrees_with
123,1,0,1,,,,,,call_error,timed out,
1039,0,0,1,,,,,,call_error,timed out,
1837,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
2840,0,0,1,MALICIOUS,1.0,0.97,"[""ephemeral_privileged"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]",Ephemeral privileged process with root UID/EUID transition. | No benign explanation for setuid/setgid execution and unusual exec chain. | High failed syscall rate and rare parent-child exec pair. | Short-lived process with no plausible benign activity.,ok,,cnn
2874,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
3781,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
3893,0,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
5351,1,0,1,MALICIOUS,1.0,0.85,"[""unique_syscalls"", ""uid_is_root"", ""euid_root"", ""failed_call_rate""]",Ephemeral privileged process with uid_is_root and euid_root. | High unique_syscalls and is_suid_exec indicate unusual behavior. | High failed_call_rate suggests potential evasion or error in syscall execution. | Short lifetime_seconds and parent_child_rarity suggest non-standard process execution.,ok,,cnn
5947,0,0,1,MALICIOUS,1.0,0.85,"[""unique_syscalls"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]","Ephemeral privileged process with uid_is_root and euid_root. | Unusual exec chain with is_suid_exec and max_uid_euid_delta. | High failed_call_rate and parent_child_rarity. | Low events_per_second and lifetime_seconds, not typical admin scripting. | Evidence supports CNN's call; XGBoost's FP pattern not matched.",ok,,cnn
7190,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
7925,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
8389,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
9039,1,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
9078,1,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
10245,1,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
10257,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
10573,0,0,1,MALICIOUS,1.0,0.95,"[""unique_syscalls"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Elevated failed_call_rate and exec_count suggest anomalous behavior. | UID and EUID are both root, with no UID change, indicating potential privilege escalation. | High unique_syscalls and sensitive_path_access deviations indicate suspicious activity. | The process's behavior does not align with typical benign activities like admin scripting or cron jobs.",ok,,cnn
11231,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
11816,1,0,1,MALICIOUS,1.0,0.85,"[""unique_syscalls"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]","Ephemeral privileged process with uid_is_root and euid_root. | Unusual exec chain with is_suid_exec and max_uid_euid_delta. | High failed_call_rate and parent_child_rarity. | Low events_per_second and lifetime_seconds, not typical admin scripting. | Evidence supports CNN's call; XGBoost's FP pattern not matched.",ok,,cnn
12943,0,0,1,MALICIOUS,1.0,0.8,"[""uid_is_root"", ""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
13125,1,0,1,MALICIOUS,1.0,0.84,"[""euid_root"", ""is_suid_exec"", ""failed_call_rate"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: High failed syscall rate, rare parent-child pair. | Benign-explanation test: Short-lived process, no admin scripting indicators.",ok,,cnn
13763,0,0,1,MALICIOUS,1.0,0.97,"[""ephemeral_privileged"", ""max_uid_euid_delta"", ""is_suid_exec"", ""failed_call_rate"", ""parent_child_rarity""]","Ephemeral privileged process with root UID/EUID transition. | Executed a setuid/setgid binary, unusual exec chain. | High failed syscall rate and rare parent-child exec pair. | Short-lived process with no benign explanation for UID transition.",ok,,cnn
13883,0,0,1,MALICIOUS,1.0,0.85,"[""unique_syscalls"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]","Ephemeral privileged process with uid_is_root and euid_root. | Unusual exec chain with is_suid_exec and max_uid_euid_delta. | High failed_call_rate and parent_child_rarity. | Low events_per_second and lifetime_seconds, not typical admin scripting. | Evidence supports CNN's call; XGBoost's FP pattern not matched.",ok,,cnn
14188,1,0,1,MALICIOUS,1.0,0.75,"[""failed_call_rate"", ""exec_count"", ""uid_is_root"", ""euid_root""]","Elevated failed_call_rate and exec_count suggest anomalous behavior. | UID transition and root context (uid_is_root, euid_root) indicate potential privilege escalation. | Network activity is low, reducing the likelihood of benign admin activity. | The process does not match typical benign patterns like cron jobs or package management. | Evidence supports the CNN model's call, with a high malicious probability.",ok,,cnn
16131,0,0,1,MALICIOUS,1.0,0.97,"[""ephemeral_privileged"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]",Ephemeral privileged process with root UID/EUID transition. | No benign explanation for setuid/setgid execution and unusual exec chain. | High failed syscall rate and rare parent-child exec pair. | Short-lived process with no plausible benign activity. | Evidence supports CNN's call; XGBoost's FP pattern not matched.,ok,,cnn
16250,1,0,1,MALICIOUS,1.0,0.85,"[""unique_syscalls"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]","Ephemeral privileged process with uid_is_root and euid_root. | Unusual exec chain with is_suid_exec and max_uid_euid_delta. | High failed_call_rate and parent_child_rarity. | Low events_per_second and lifetime_seconds, not typical admin scripting. | Evidence supports CNN's call; XGBoost's FP pattern not matched.",ok,,cnn
19012,0,0,1,MALICIOUS,1.0,0.85,"[""unique_syscalls"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]","Ephemeral privileged process with uid_is_root and euid_root. | Unusual exec chain with is_suid_exec and max_uid_euid_delta. | High failed_call_rate and parent_child_rarity. | Low events_per_second and lifetime_seconds, not typical admin scripting. | Evidence supports CNN's call; XGBoost's FP pattern not matched.",ok,,cnn
