row_id,lifetime_seconds,events_per_second,seq_length,unique_syscalls,uid_is_root,uid_changed,euid_root,max_uid_euid_delta,is_suid_exec,auid_euid_mismatch,ephemeral_privileged,failed_call_rate,failed_call_count,priv_op_count,exec_count,file_access_count,network_count,shell_from_service,sensitive_path_access,parent_child_rarity,fold,true_label,technique,pred_xgb,proba_xgb,pred_cnn,proba_cnn,disagreement_direction
115,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,0,benign,0,0.6923177242279053,1,0.9917534589767456,xgb_benign_cnn_malicious
123,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,1,T1078_Valid_Accounts,0,0.6923177242279053,1,0.9917534589767456,xgb_benign_cnn_malicious
234,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
238,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,0,benign,0,0.5382307767868042,1,0.9489884972572327,xgb_benign_cnn_malicious
697,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,0,benign,0,0.6923177242279053,1,0.9917534589767456,xgb_benign_cnn_malicious
868,0.001,14000.0,14,2,1,0,1,0.0,0,0,1,1.0,14,0,7,0,0,0,0,0.999579,1,0,benign,0,0.694502592086792,1,0.9362074136734009,xgb_benign_cnn_malicious
1039,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,0,benign,0,0.5382307767868042,1,0.9489884972572327,xgb_benign_cnn_malicious
1438,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,1,T1078_Valid_Accounts,0,0.6923177242279053,1,0.9917534589767456,xgb_benign_cnn_malicious
1837,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
1880,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,0,benign,0,0.5382307767868042,1,0.9489884972572327,xgb_benign_cnn_malicious
2204,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
2840,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,0.973325,4,0,benign,0,0.3245709240436554,1,0.9654507040977478,xgb_benign_cnn_malicious
2847,0.001,9000.0,9,3,1,0,1,0.0,0,0,1,0.8889,8,0,3,0,0,0,0,0.973325,4,1,T1078_Valid_Accounts,0,0.619727611541748,1,0.9672528505325317,xgb_benign_cnn_malicious
2874,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
2879,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
2988,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,0,benign,0,0.5382307767868042,1,0.9489884972572327,xgb_benign_cnn_malicious
3034,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,1,T1078_Valid_Accounts,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
3244,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
3489,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
3781,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
3893,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,0,benign,0,0.5382307767868042,1,0.9489884972572327,xgb_benign_cnn_malicious
4164,0.001,15000.0,15,3,1,0,1,0.0,0,0,1,0.8667,13,0,5,0,0,0,0,0.921176,1,0,benign,0,0.4333839416503906,1,0.931560218334198,xgb_benign_cnn_malicious
5237,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
5351,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,1,T1078_Valid_Accounts,0,0.6923177242279053,1,0.9917534589767456,xgb_benign_cnn_malicious
5458,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,1,T1078_Valid_Accounts,0,0.5382307767868042,1,0.9489884972572327,xgb_benign_cnn_malicious
5642,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,1,T1078_Valid_Accounts,0,0.5382307767868042,1,0.9489884972572327,xgb_benign_cnn_malicious
5947,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,0,benign,0,0.6923177242279053,1,0.9917534589767456,xgb_benign_cnn_malicious
6278,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,0.973325,4,1,T1078_Valid_Accounts,0,0.3245709240436554,1,0.9654507040977478,xgb_benign_cnn_malicious
6373,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
6470,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
7190,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
7425,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,1,T1078_Valid_Accounts,0,0.5382307767868042,1,0.9489884972572327,xgb_benign_cnn_malicious
7657,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
7740,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,1,T1078_Valid_Accounts,0,0.5382307767868042,1,0.9489884972572327,xgb_benign_cnn_malicious
7925,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
8389,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
8675,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
8734,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
9039,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,1,T1078_Valid_Accounts,0,0.5382307767868042,1,0.9489884972572327,xgb_benign_cnn_malicious
9041,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
9051,30.948,1.325,41,5,1,1,1,0.0,0,0,0,0.6829,28,0,0,12,0,0,0,0.973325,1,0,benign,0,0.6505191326141357,1,0.9784662127494812,xgb_benign_cnn_malicious
9078,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,1,T1078_Valid_Accounts,0,0.5382307767868042,1,0.9489884972572327,xgb_benign_cnn_malicious
10245,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,1,T1078_Valid_Accounts,0,0.5382307767868042,1,0.9489884972572327,xgb_benign_cnn_malicious
10257,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
10469,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
10522,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
10573,0.016,749.998,12,4,1,0,1,0.0,0,0,1,0.9167,11,0,4,0,0,0,0,0.977843,1,0,benign,0,0.5584598183631897,1,0.9479522109031677,xgb_benign_cnn_malicious
10615,0.004,3500.045,14,2,1,0,1,0.0,0,0,1,1.0,14,0,7,0,0,0,0,0.999579,4,0,benign,0,0.3904956877231598,1,0.9424631595611572,xgb_benign_cnn_malicious
10804,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
10865,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,1,T1078_Valid_Accounts,0,0.5382307767868042,1,0.9489884972572327,xgb_benign_cnn_malicious
10876,0.001,9000.0,9,3,1,0,1,0.0,0,0,1,0.8889,8,0,3,0,0,0,0,0.973325,4,1,T1078_Valid_Accounts,0,0.619727611541748,1,0.9672528505325317,xgb_benign_cnn_malicious
11046,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,benign,0,0.46265119314193726,1,0.7419862747192383,xgb_benign_cnn_malicious
11050,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,0.999949,3,1,T1078_Valid_Accounts,0,0.6828815937042236,1,0.9918093085289001,xgb_benign_cnn_malicious
